assumed_background_vol_pct,event_var,event_sd_pct,event_exp_abs_move_pct,inside_observed_pre_event_range
26.0,0.015353,12.39,9.89,False
27.0,0.014336,11.97,9.55,False
28.0,0.013281,11.52,9.19,False
29.0,0.012187,11.04,8.81,True
30.0,0.011055,10.51,8.39,True
31.0,0.009884,9.94,7.93,True
32.0,0.008675,9.31,7.43,False
33.0,0.007428,8.62,6.88,False
34.0,0.006142,7.84,6.25,False
35.0,0.004818,6.94,5.54,False
36.0,0.003456,5.88,4.69,False
37.0,0.002055,4.53,3.62,False
38.0,0.000616,2.48,1.98,False
39.0,-0.000862,,,False
40.0,-0.002378,,,False
41.0,-0.003932,,,False
42.0,-0.005525,,,False
43.0,-0.007156,,,False
