expiry,T,days,n_parity_strikes,F_parity_median,F_theory_spot_carry,F_parity_minus_theory_pct,F_parity_strike_range_pct,n_theory_outside_bid_ask
2026-09-18,0.01918,7,10,170.04,170.321,-0.165,0.295,0
2026-09-25,0.03836,14,9,170.156,170.451,-0.173,0.252,0
2026-10-02,0.05753,21,11,170.264,170.582,-0.187,0.682,0
2026-10-09,0.07671,28,5,170.548,170.713,-0.096,0.431,0
2026-10-16,0.09589,35,9,170.747,170.844,-0.057,0.48,0
2026-10-23,0.11507,42,1,171.021,170.975,0.027,0.0,0
2026-11-20,0.19189,70,9,171.186,171.501,-0.184,0.805,0
2026-12-18,0.26861,98,9,171.755,172.028,-0.159,0.715,0
2027-01-15,0.34532,126,9,172.407,172.557,-0.087,0.689,0
2027-03-19,0.51781,189,9,173.54,173.752,-0.122,1.278,0
2027-04-16,0.59452,217,4,174.868,174.286,0.334,0.516,0
2027-06-17,0.76438,279,9,175.518,175.474,0.025,0.925,0
2027-09-17,1.01644,371,6,177.706,177.252,0.256,0.595,0
2027-12-17,1.26587,462,9,180.053,179.029,0.572,1.03,0
2028-01-21,1.36176,497,9,180.66,179.717,0.524,1.462,0
