price,label,ev,g_ntm,g_ntm_lo,g_ntm_hi,m_ntm,g27_prop,g27_direct,rev27,ebitda27,eps27,ev_fy27_ebitda,nights27_prop,nights27_direct,g27_fixed,nights27_fixed,p_above_12m,p_above_20nov,rdcf_reported,rdcf_sbc
125.5,options-implied 12M p25 (lognormal),65330.5,3.0347,-0.6803,5.3266,13.7332,1.6137,-10.3192,14460.9544,5234.8655,5.2878,12.4799,-0.7504,-12.4057,-23.1438,-24.9319,0.741,0.951,,
150.0,bear tape,79957.0,8.6226,7.26,9.99,15.9432,7.2016,1.3784,15256.1834,5522.7384,5.6895,14.4778,4.7075,-0.9802,-5.9369,-8.1253,0.599,0.75,0.65,11.87
163.8,options-implied 12M p50 (lognormal),88195.6,11.5927,10.6518,12.1759,17.1179,10.1717,7.596,15678.873,5675.752,5.9031,15.539,7.6085,5.0927,3.7552,1.3412,0.517,0.582,,
165.0,p25 sell-side target,88912.0,11.8456,10.52,13.17,17.218,10.4246,8.1255,15714.865,5688.7811,5.9212,15.6294,7.8555,5.6099,4.598,2.1644,0.51,0.565,3.64,14.95
170.19,"price, close 11 Sep 2026",92010.43,12.9301,11.53,14.34,17.6469,11.5091,10.3957,15869.1996,5744.6503,5.9992,16.0167,8.9148,7.8273,8.243,5.7247,0.48,0.493,4.61,15.95
179.5,mean sell-side target,97568.5,14.839,13.21,16.48,18.4018,13.418,14.3916,16140.8535,5842.9889,6.1364,16.6984,10.7792,11.7302,14.7816,12.1112,0.428,0.366,6.28,17.66
185.0,median yfinance target,100852.0,15.9457,14.15,17.76,18.8395,14.5247,16.7085,16298.3577,5900.0055,6.216,17.0935,11.8602,13.9932,18.6444,15.8841,0.399,0.297,7.22,18.64
197.5,p75 sell-side target,108314.5,18.407,16.19,20.65,19.813,16.986,21.8609,16648.6298,6026.804,6.393,17.9721,14.2642,19.0257,27.4235,24.4589,0.336,0.17,9.26,20.74
213.9,options-implied 12M p75 (lognormal),118105.3,21.5311,20.2594,23.5675,21.0485,20.1101,28.4008,17093.231,6187.7496,6.6176,19.087,17.3156,25.4135,38.9416,35.709,0.263,0.069,,
220.0,top sell-side target,121747.0,22.665,19.64,25.73,21.497,21.244,30.7745,17254.5976,6246.1643,6.6991,19.4915,18.4231,27.7319,43.2257,39.8935,0.239,0.047,12.63,24.22
