cell,print_quarter,reaction_date,nights_yoy_pct,nights_accel_pts,revenue_surprise_pct,guide_vs_street_pct,guide_implied_rev_decel_pts,estimate_direction_proxy,raw_1d_pct,excess_1d_pct,open_1d_excess_pct,drift_20d_excess_pct,drift_60d_excess_pct
all prints 1Q21-2Q26,2021Q1,2021-05-14,,,24.16,,,flat/none,4.01,1.81,1.38,0.12,-7.61
all prints 1Q21-2Q26,2021Q2,2021-08-13,,,5.952,,,flat/none,1.07,0.71,3.91,2.91,23.21
all prints 1Q21-2Q26,2021Q3,2021-11-05,28.96,,9.122,,0.39,rising,12.98,12.89,8.67,-7.19,-17.18
all prints 1Q21-2Q26,2021Q4,2022-02-16,58.53,29.57,4.932,16.532,-15.42,falling,3.65,3.67,4.05,-12.33,-19.73
all prints 1Q21-2Q26,2022Q1,2022-05-04,58.54,0.01,4.069,6.122,-14.31,falling,7.71,4.33,-0.84,-17.74,-24.45
all prints 1Q21-2Q26,2022Q2,2022-08-03,24.79,-33.75,-0.284,2.166,-31.09,falling,-1.13,-3.86,4.11,5.66,12.92
all prints 1Q21-2Q26,2022Q3,2022-11-02,25.09,0.3,3.0,-0.541,-8.82,falling,-13.43,-10.0,-4.61,-3.29,6.8
all prints 1Q21-2Q26,2022Q4,2023-02-15,20.16,-4.93,2.258,5.621,-5.86,flat/none,13.35,12.59,4.01,-11.68,-28.32
all prints 1Q21-2Q26,2023Q1,2023-05-10,18.61,-1.55,1.564,-0.826,-6.41,rising,-10.92,-12.01,2.73,-6.57,11.12
all prints 1Q21-2Q26,2023Q2,2023-08-04,10.99,-7.62,2.645,4.037,-1.9,rising,-0.5,-0.04,0.77,-6.83,-10.43
all prints 1Q21-2Q26,2023Q3,2023-11-02,13.54,2.55,0.801,-1.376,-4.75,flat/none,-3.32,-5.14,-6.25,9.61,10.07
all prints 1Q21-2Q26,2023Q4,2024-02-14,12.02,-1.52,2.212,0.985,-3.85,rising,-1.74,-2.83,0.94,10.94,-3.31
all prints 1Q21-2Q26,2024Q1,2024-05-09,9.5,-2.52,3.981,-1.095,-8.72,rising,-6.87,-7.09,0.15,-5.24,-10.94
all prints 1Q21-2Q26,2024Q2,2024-08-07,8.69,-0.81,0.292,,-1.71,rising,-13.38,-12.3,3.13,-3.25,7.98
all prints 1Q21-2Q26,2024Q3,2024-11-08,8.48,-0.21,0.323,-0.207,-0.98,rising,-8.66,-8.78,-0.26,0.37,-1.43
all prints 1Q21-2Q26,2024Q4,2025-02-14,12.35,3.87,2.479,-2.174,-6.77,rising,14.45,14.03,1.65,-11.07,-10.29
all prints 1Q21-2Q26,2025Q1,2025-05-02,7.92,-4.43,0.531,-0.658,3.83,falling,1.01,-0.48,2.96,-3.55,-8.62
all prints 1Q21-2Q26,2025Q2,2025-08-07,7.43,-0.48,1.842,0.247,-3.87,rising,-8.02,-8.36,0.13,1.95,-5.09
all prints 1Q21-2Q26,2025Q3,2025-11-07,8.79,1.36,0.368,0.749,-1.26,falling,0.29,0.61,-3.91,-1.45,2.41
all prints 1Q21-2Q26,2025Q4,2026-02-13,9.82,1.03,2.132,3.162,2.86,rising,4.65,4.44,-4.29,6.0,-5.85
all prints 1Q21-2Q26,2026Q1,2026-05-08,9.15,-0.67,2.214,3.179,-2.56,rising,0.73,-1.61,0.82,-5.67,6.92
all prints 1Q21-2Q26,2026Q2,2026-08-07,10.34,1.19,0.782,2.603,-1.03,rising,17.43,16.26,7.72,2.74,
(a) nights ACCELERATING vs prior quarter,2021Q4,2022-02-16,58.53,29.57,4.932,16.532,-15.42,falling,3.65,3.67,4.05,-12.33,-19.73
(a) nights ACCELERATING vs prior quarter,2022Q1,2022-05-04,58.54,0.01,4.069,6.122,-14.31,falling,7.71,4.33,-0.84,-17.74,-24.45
(a) nights ACCELERATING vs prior quarter,2022Q3,2022-11-02,25.09,0.3,3.0,-0.541,-8.82,falling,-13.43,-10.0,-4.61,-3.29,6.8
(a) nights ACCELERATING vs prior quarter,2023Q3,2023-11-02,13.54,2.55,0.801,-1.376,-4.75,flat/none,-3.32,-5.14,-6.25,9.61,10.07
(a) nights ACCELERATING vs prior quarter,2024Q4,2025-02-14,12.35,3.87,2.479,-2.174,-6.77,rising,14.45,14.03,1.65,-11.07,-10.29
(a) nights ACCELERATING vs prior quarter,2025Q3,2025-11-07,8.79,1.36,0.368,0.749,-1.26,falling,0.29,0.61,-3.91,-1.45,2.41
(a) nights ACCELERATING vs prior quarter,2025Q4,2026-02-13,9.82,1.03,2.132,3.162,2.86,rising,4.65,4.44,-4.29,6.0,-5.85
(a) nights ACCELERATING vs prior quarter,2026Q2,2026-08-07,10.34,1.19,0.782,2.603,-1.03,rising,17.43,16.26,7.72,2.74,
(a) nights DECELERATING vs prior quarter,2022Q2,2022-08-03,24.79,-33.75,-0.284,2.166,-31.09,falling,-1.13,-3.86,4.11,5.66,12.92
(a) nights DECELERATING vs prior quarter,2022Q4,2023-02-15,20.16,-4.93,2.258,5.621,-5.86,flat/none,13.35,12.59,4.01,-11.68,-28.32
(a) nights DECELERATING vs prior quarter,2023Q1,2023-05-10,18.61,-1.55,1.564,-0.826,-6.41,rising,-10.92,-12.01,2.73,-6.57,11.12
(a) nights DECELERATING vs prior quarter,2023Q2,2023-08-04,10.99,-7.62,2.645,4.037,-1.9,rising,-0.5,-0.04,0.77,-6.83,-10.43
(a) nights DECELERATING vs prior quarter,2023Q4,2024-02-14,12.02,-1.52,2.212,0.985,-3.85,rising,-1.74,-2.83,0.94,10.94,-3.31
(a) nights DECELERATING vs prior quarter,2024Q1,2024-05-09,9.5,-2.52,3.981,-1.095,-8.72,rising,-6.87,-7.09,0.15,-5.24,-10.94
(a) nights DECELERATING vs prior quarter,2024Q2,2024-08-07,8.69,-0.81,0.292,,-1.71,rising,-13.38,-12.3,3.13,-3.25,7.98
(a) nights DECELERATING vs prior quarter,2024Q3,2024-11-08,8.48,-0.21,0.323,-0.207,-0.98,rising,-8.66,-8.78,-0.26,0.37,-1.43
(a) nights DECELERATING vs prior quarter,2025Q1,2025-05-02,7.92,-4.43,0.531,-0.658,3.83,falling,1.01,-0.48,2.96,-3.55,-8.62
(a) nights DECELERATING vs prior quarter,2025Q2,2025-08-07,7.43,-0.48,1.842,0.247,-3.87,rising,-8.02,-8.36,0.13,1.95,-5.09
(a) nights DECELERATING vs prior quarter,2026Q1,2026-05-08,9.15,-0.67,2.214,3.179,-2.56,rising,0.73,-1.61,0.82,-5.67,6.92
"(a) nights ACCELERATING, 2023+",2023Q3,2023-11-02,13.54,2.55,0.801,-1.376,-4.75,flat/none,-3.32,-5.14,-6.25,9.61,10.07
"(a) nights ACCELERATING, 2023+",2024Q4,2025-02-14,12.35,3.87,2.479,-2.174,-6.77,rising,14.45,14.03,1.65,-11.07,-10.29
"(a) nights ACCELERATING, 2023+",2025Q3,2025-11-07,8.79,1.36,0.368,0.749,-1.26,falling,0.29,0.61,-3.91,-1.45,2.41
"(a) nights ACCELERATING, 2023+",2025Q4,2026-02-13,9.82,1.03,2.132,3.162,2.86,rising,4.65,4.44,-4.29,6.0,-5.85
"(a) nights ACCELERATING, 2023+",2026Q2,2026-08-07,10.34,1.19,0.782,2.603,-1.03,rising,17.43,16.26,7.72,2.74,
"(a) nights DECELERATING, 2023+",2023Q1,2023-05-10,18.61,-1.55,1.564,-0.826,-6.41,rising,-10.92,-12.01,2.73,-6.57,11.12
"(a) nights DECELERATING, 2023+",2023Q2,2023-08-04,10.99,-7.62,2.645,4.037,-1.9,rising,-0.5,-0.04,0.77,-6.83,-10.43
"(a) nights DECELERATING, 2023+",2023Q4,2024-02-14,12.02,-1.52,2.212,0.985,-3.85,rising,-1.74,-2.83,0.94,10.94,-3.31
"(a) nights DECELERATING, 2023+",2024Q1,2024-05-09,9.5,-2.52,3.981,-1.095,-8.72,rising,-6.87,-7.09,0.15,-5.24,-10.94
"(a) nights DECELERATING, 2023+",2024Q2,2024-08-07,8.69,-0.81,0.292,,-1.71,rising,-13.38,-12.3,3.13,-3.25,7.98
"(a) nights DECELERATING, 2023+",2024Q3,2024-11-08,8.48,-0.21,0.323,-0.207,-0.98,rising,-8.66,-8.78,-0.26,0.37,-1.43
"(a) nights DECELERATING, 2023+",2025Q1,2025-05-02,7.92,-4.43,0.531,-0.658,3.83,falling,1.01,-0.48,2.96,-3.55,-8.62
"(a) nights DECELERATING, 2023+",2025Q2,2025-08-07,7.43,-0.48,1.842,0.247,-3.87,rising,-8.02,-8.36,0.13,1.95,-5.09
"(a) nights DECELERATING, 2023+",2026Q1,2026-05-08,9.15,-0.67,2.214,3.179,-2.56,rising,0.73,-1.61,0.82,-5.67,6.92
(b) nights DECELERATED while revenue BEAT,2022Q4,2023-02-15,20.16,-4.93,2.258,5.621,-5.86,flat/none,13.35,12.59,4.01,-11.68,-28.32
(b) nights DECELERATED while revenue BEAT,2023Q1,2023-05-10,18.61,-1.55,1.564,-0.826,-6.41,rising,-10.92,-12.01,2.73,-6.57,11.12
(b) nights DECELERATED while revenue BEAT,2023Q2,2023-08-04,10.99,-7.62,2.645,4.037,-1.9,rising,-0.5,-0.04,0.77,-6.83,-10.43
(b) nights DECELERATED while revenue BEAT,2023Q4,2024-02-14,12.02,-1.52,2.212,0.985,-3.85,rising,-1.74,-2.83,0.94,10.94,-3.31
(b) nights DECELERATED while revenue BEAT,2024Q1,2024-05-09,9.5,-2.52,3.981,-1.095,-8.72,rising,-6.87,-7.09,0.15,-5.24,-10.94
(b) nights DECELERATED while revenue BEAT,2024Q2,2024-08-07,8.69,-0.81,0.292,,-1.71,rising,-13.38,-12.3,3.13,-3.25,7.98
(b) nights DECELERATED while revenue BEAT,2024Q3,2024-11-08,8.48,-0.21,0.323,-0.207,-0.98,rising,-8.66,-8.78,-0.26,0.37,-1.43
(b) nights DECELERATED while revenue BEAT,2025Q1,2025-05-02,7.92,-4.43,0.531,-0.658,3.83,falling,1.01,-0.48,2.96,-3.55,-8.62
(b) nights DECELERATED while revenue BEAT,2025Q2,2025-08-07,7.43,-0.48,1.842,0.247,-3.87,rising,-8.02,-8.36,0.13,1.95,-5.09
(b) nights DECELERATED while revenue BEAT,2026Q1,2026-05-08,9.15,-0.67,2.214,3.179,-2.56,rising,0.73,-1.61,0.82,-5.67,6.92
(b') as (b) and PT revisions rising into the print,2023Q1,2023-05-10,18.61,-1.55,1.564,-0.826,-6.41,rising,-10.92,-12.01,2.73,-6.57,11.12
(b') as (b) and PT revisions rising into the print,2023Q2,2023-08-04,10.99,-7.62,2.645,4.037,-1.9,rising,-0.5,-0.04,0.77,-6.83,-10.43
