scenario,quarter,rnpl_gbv_share_pct,rnpl_nights_share_pct,excess_cancellations_timed_mm,excess_cancellations_instant_mm,live_unpaid_backlog_nights_mm,lead_time_months,rnpl_lead_time_months,delta_pp,rebook_offset
bear,2Q26 (cross-check),21.0,16.66,1.571,1.765,18.62,1.8,2.07,6.0,0.0
bear,3Q26,25.0,20.04,1.893,2.102,22.29,1.8,2.07,6.0,0.0
bear,4Q26,27.0,21.76,2.025,2.071,23.1,1.8,2.07,6.0,0.0
bear,1Q27,27.0,21.76,2.352,2.608,27.59,1.8,2.07,6.0,0.0
bear,2Q27,27.0,21.76,2.471,2.495,28.01,1.8,2.07,6.0,0.0
bear,3Q27,27.0,21.76,2.475,2.469,27.91,1.8,2.07,6.0,0.0
bear,4Q27,27.0,21.76,2.347,2.24,26.04,1.8,2.07,6.0,0.0
base,2Q26 (cross-check),21.0,16.66,1.032,1.177,20.75,2.2,2.35,4.0,0.25
base,3Q26,22.0,17.5,1.154,1.224,22.57,2.2,2.35,4.0,0.25
base,4Q26,23.0,18.34,1.173,1.164,22.34,2.2,2.35,4.0,0.25
base,1Q27,23.0,18.34,1.322,1.464,26.05,2.2,2.35,4.0,0.25
base,2Q27,23.0,18.34,1.385,1.401,26.48,2.2,2.35,4.0,0.25
base,3Q27,23.0,18.34,1.389,1.388,26.43,2.2,2.35,4.0,0.25
base,4Q27,23.0,18.34,1.323,1.259,24.75,2.2,2.35,4.0,0.25
bull,2Q26 (cross-check),21.0,16.66,0.5,0.588,25.1,3.0,3.0,2.0,0.5
bull,3Q26,21.0,16.66,0.553,0.582,26.64,3.0,3.0,2.0,0.5
bull,4Q26,21.0,16.66,0.55,0.529,25.57,3.0,3.0,2.0,0.5
bull,1Q27,21.0,16.66,0.6,0.664,28.88,3.0,3.0,2.0,0.5
bull,2Q27,21.0,16.66,0.626,0.636,29.4,3.0,3.0,2.0,0.5
bull,3Q27,21.0,16.66,0.63,0.63,29.43,3.0,3.0,2.0,0.5
bull,4Q27,21.0,16.66,0.604,0.572,27.77,3.0,3.0,2.0,0.5
