norm,quarter,coef,B,uf_ratio,fp_ratio,m_pct,u_pct
"note baseline: next-Q rev, 2023+2024+1H25",4Q25,0.1,1.0,0.945,0.971,2.472,3.104
"note baseline: next-Q rev, 2023+2024+1H25",4Q25,0.1,1.05,0.945,0.971,2.472,7.718
"note baseline: next-Q rev, 2023+2024+1H25",4Q25,0.1,1.1,0.945,0.971,2.472,11.913
"note baseline: next-Q rev, 2023+2024+1H25",4Q25,0.124,1.0,0.945,0.971,2.42,3.155
"note baseline: next-Q rev, 2023+2024+1H25",4Q25,0.124,1.05,0.945,0.971,2.42,7.767
"note baseline: next-Q rev, 2023+2024+1H25",4Q25,0.124,1.1,0.945,0.971,2.42,11.959
"note baseline: next-Q rev, 2023+2024+1H25",4Q25,0.142,1.0,0.945,0.971,2.383,3.192
"note baseline: next-Q rev, 2023+2024+1H25",4Q25,0.142,1.05,0.945,0.971,2.383,7.802
"note baseline: next-Q rev, 2023+2024+1H25",4Q25,0.142,1.1,0.945,0.971,2.383,11.993
"note baseline: next-Q rev, 2023+2024+1H25",1Q26,0.1,1.0,0.861,0.947,8.301,6.118
"note baseline: next-Q rev, 2023+2024+1H25",1Q26,0.1,1.05,0.861,0.947,8.301,10.589
"note baseline: next-Q rev, 2023+2024+1H25",1Q26,0.1,1.1,0.861,0.947,8.301,14.653
"note baseline: next-Q rev, 2023+2024+1H25",1Q26,0.124,1.0,0.861,0.947,8.138,6.284
"note baseline: next-Q rev, 2023+2024+1H25",1Q26,0.124,1.05,0.861,0.947,8.138,10.747
"note baseline: next-Q rev, 2023+2024+1H25",1Q26,0.124,1.1,0.861,0.947,8.138,14.804
"note baseline: next-Q rev, 2023+2024+1H25",1Q26,0.142,1.0,0.861,0.947,8.02,6.405
"note baseline: next-Q rev, 2023+2024+1H25",1Q26,0.142,1.05,0.861,0.947,8.02,10.861
"note baseline: next-Q rev, 2023+2024+1H25",1Q26,0.142,1.1,0.861,0.947,8.02,14.913
"note baseline: next-Q rev, 2023+2024+1H25",2Q26,0.1,1.0,0.846,0.936,8.763,7.249
"note baseline: next-Q rev, 2023+2024+1H25",2Q26,0.1,1.05,0.846,0.936,8.763,11.665
"note baseline: next-Q rev, 2023+2024+1H25",2Q26,0.1,1.1,0.846,0.936,8.763,15.681
"note baseline: next-Q rev, 2023+2024+1H25",2Q26,0.124,1.0,0.846,0.936,8.592,7.422
"note baseline: next-Q rev, 2023+2024+1H25",2Q26,0.124,1.05,0.846,0.936,8.592,11.831
"note baseline: next-Q rev, 2023+2024+1H25",2Q26,0.124,1.1,0.846,0.936,8.592,15.838
