quarter,u_defn,fee_divisor,B,u_pct,backlog_gbv_busd,unpaid_gbv_busd,nights_mm_adr1p00,nights_mm_adr1p33
1Q26,note joint solve,0.124,1.0,6.4,25.6,1.64,8.8,6.6
1Q26,UF-only (FX-clean),0.124,1.0,13.9,25.6,3.56,19.1,14.3
1Q26,note joint solve,0.124,1.05,10.9,26.9,2.92,15.6,11.8
1Q26,UF-only (FX-clean),0.124,1.05,18.0,26.9,4.84,25.9,19.5
1Q26,note joint solve,0.124,1.1,14.9,28.2,4.2,22.5,16.9
1Q26,UF-only (FX-clean),0.124,1.1,21.7,28.2,6.12,32.8,24.6
1Q26,note joint solve,0.133,1.0,6.4,23.9,1.53,8.2,6.2
1Q26,UF-only (FX-clean),0.133,1.0,13.9,23.9,3.32,17.8,13.4
1Q26,note joint solve,0.133,1.05,10.9,25.1,2.72,14.6,11.0
1Q26,UF-only (FX-clean),0.133,1.05,18.0,25.1,4.51,24.2,18.2
1Q26,note joint solve,0.133,1.1,14.9,26.3,3.92,21.0,15.8
1Q26,UF-only (FX-clean),0.133,1.1,21.7,26.3,5.71,30.6,23.0
1Q26,note joint solve,0.151,1.0,6.4,21.0,1.35,7.2,5.4
1Q26,UF-only (FX-clean),0.151,1.0,13.9,21.0,2.92,15.7,11.8
1Q26,note joint solve,0.151,1.05,10.9,22.1,2.4,12.8,9.6
1Q26,UF-only (FX-clean),0.151,1.05,18.0,22.1,3.98,21.3,16.0
1Q26,note joint solve,0.151,1.1,14.9,23.1,3.45,18.5,13.9
1Q26,UF-only (FX-clean),0.151,1.1,21.7,23.1,5.03,26.9,20.2
1Q26,note joint solve,0.155,1.0,6.4,20.5,1.31,7.0,5.3
1Q26,UF-only (FX-clean),0.155,1.0,13.9,20.5,2.85,15.3,11.5
1Q26,note joint solve,0.155,1.05,10.9,21.5,2.34,12.5,9.4
1Q26,UF-only (FX-clean),0.155,1.05,18.0,21.5,3.87,20.7,15.6
1Q26,note joint solve,0.155,1.1,14.9,22.5,3.36,18.0,13.5
1Q26,UF-only (FX-clean),0.155,1.1,21.7,22.5,4.9,26.2,19.7
2Q26,note joint solve,0.124,1.0,7.5,27.0,2.04,11.1,8.3
2Q26,UF-only (FX-clean),0.124,1.0,15.4,27.0,4.15,22.6,17.0
2Q26,note joint solve,0.124,1.05,12.0,28.3,3.39,18.4,13.9
2Q26,UF-only (FX-clean),0.124,1.05,19.4,28.3,5.5,29.9,22.5
2Q26,note joint solve,0.124,1.1,16.0,29.7,4.73,25.8,19.4
2Q26,UF-only (FX-clean),0.124,1.1,23.1,29.7,6.85,37.3,28.0
2Q26,note joint solve,0.133,1.0,7.5,25.2,1.9,10.3,7.8
2Q26,UF-only (FX-clean),0.133,1.0,15.4,25.2,3.87,21.1,15.8
2Q26,note joint solve,0.133,1.05,12.0,26.4,3.16,17.2,12.9
2Q26,UF-only (FX-clean),0.133,1.05,19.4,26.4,5.13,27.9,21.0
2Q26,note joint solve,0.133,1.1,16.0,27.7,4.41,24.0,18.1
2Q26,UF-only (FX-clean),0.133,1.1,23.1,27.7,6.38,34.7,26.1
2Q26,note joint solve,0.151,1.0,7.5,22.2,1.67,9.1,6.8
2Q26,UF-only (FX-clean),0.151,1.0,15.4,22.2,3.41,18.5,13.9
2Q26,note joint solve,0.151,1.05,12.0,23.3,2.78,15.1,11.4
2Q26,UF-only (FX-clean),0.151,1.05,19.4,23.3,4.51,24.6,18.5
2Q26,note joint solve,0.151,1.1,16.0,24.4,3.89,21.2,15.9
2Q26,UF-only (FX-clean),0.151,1.1,23.1,24.4,5.62,30.6,23.0
2Q26,note joint solve,0.155,1.0,7.5,21.6,1.63,8.9,6.7
2Q26,UF-only (FX-clean),0.155,1.0,15.4,21.6,3.32,18.1,13.6
2Q26,note joint solve,0.155,1.05,12.0,22.7,2.71,14.7,11.1
2Q26,UF-only (FX-clean),0.155,1.05,19.4,22.7,4.4,23.9,18.0
2Q26,note joint solve,0.155,1.1,16.0,23.7,3.79,20.6,15.5
2Q26,UF-only (FX-clean),0.155,1.1,23.1,23.7,5.48,29.8,22.4
