week,week_start,los-angeles_minus_controls,mexico-city_minus_controls,chicago_only_LA,in_T
2026-03-16/2026-03-22,2026-03-16,-0.12298672445353082,,,False
2026-03-23/2026-03-29,2026-03-23,-0.10171407673816515,,,False
2026-03-30/2026-04-05,2026-03-30,-0.10070278801798385,-0.06833862332108802,,False
2026-04-06/2026-04-12,2026-04-06,-0.11292583246260174,-0.09346535454912142,,False
2026-04-13/2026-04-19,2026-04-13,-0.10292341521296787,-0.13637506184307324,,False
2026-04-20/2026-04-26,2026-04-20,-0.04026893589193072,-0.06740675510560074,0.10619510639824402,False
2026-04-27/2026-05-03,2026-04-27,-0.06862162637144112,-0.04734312610582332,0.07840282217553152,False
2026-05-04/2026-05-10,2026-05-04,-0.03973154267776377,-0.0249044846511419,0.023942005492185815,False
2026-05-11/2026-05-17,2026-05-11,-0.031349845070479165,-0.05387339268462353,0.04625084544206158,False
2026-05-18/2026-05-24,2026-05-18,0.0033064286041749095,-0.0635460774689817,0.030160916150560556,False
2026-05-25/2026-05-31,2026-05-25,0.0031710569975615943,0.003882872519914607,0.039609800232174634,False
2026-06-01/2026-06-07,2026-06-01,-0.01204349916575294,0.018499235669268792,-0.04747125627601801,False
2026-06-08/2026-06-14,2026-06-08,0.07307540668178497,0.18713378967831448,0.010342434526038884,True
2026-06-15/2026-06-21,2026-06-15,0.055872347794915296,0.10462226450554223,0.025675710909322837,True
2026-06-22/2026-06-28,2026-06-22,0.055954786239735016,0.11290576555394746,0.00858429156773724,True
2026-06-29/2026-07-05,2026-06-29,0.04881101083843661,0.09197281263975028,0.03032885941968653,True
2026-07-06/2026-07-12,2026-07-06,0.0696077557141704,0.05628161400423391,0.0052276106060656115,True
2026-07-13/2026-07-19,2026-07-13,0.009783807076654022,-0.031657302115777275,-0.07977067377501265,True
2026-07-20/2026-07-26,2026-07-20,0.01598515425129764,-0.04022365389957404,-0.07807814277696967,False
2026-07-27/2026-08-02,2026-07-27,-0.00937076046035501,-0.06343674391175282,-0.16400835649081238,False
2026-08-03/2026-08-09,2026-08-03,0.010621756868284617,-0.01310501411706263,-0.09677847043697022,False
2026-08-10/2026-08-16,2026-08-10,0.043601548372403875,-0.025605379161736715,-0.017732431910125256,False
2026-08-17/2026-08-23,2026-08-17,0.03512457002257144,-0.003265999046822718,-0.03310703306697261,False
2026-08-24/2026-08-30,2026-08-24,0.007378596691984596,-0.02964390482382884,-0.03144961964810994,False
2026-08-31/2026-09-06,2026-08-31,0.03478525172311918,0.015710221755238323,0.028614510537375678,False
2026-09-07/2026-09-13,2026-09-07,0.006849498808417842,-0.013372908632429403,0.04187585458249933,False
2026-09-14/2026-09-20,2026-09-14,-0.08523199592069274,-0.0978222424764158,-0.11918762218487274,False
2026-09-21/2026-09-27,2026-09-21,-0.040014124888579646,-0.06544332680330334,-0.03942267169567133,False
2026-09-28/2026-10-04,2026-09-28,,-0.11289410118649676,,False
2026-10-05/2026-10-11,2026-10-05,,-0.14330049102463457,,False
2026-10-12/2026-10-18,2026-10-12,,,,False
