id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
483128,Cosy apt with terrace in Thessaloniki center!,2358521,1462592949902471839,Stelios,,Thessaloniki,40.6385498046875,22.950674057006836,Entire home/apt,62,2,425,2026-01-15,2.48,1,358,9,00000502736
494816,"City View Apartment  ""Thessaloniki""",1977386,1462521469061207270,Cristina And Tomas Skgbnb,,Neapolis – Sykeon,40.64763,22.94309,Entire home/apt,49,20,50,2026-03-27,0.31,39,225,3,00001900000
550239,Kripis Studio Thessaloniki No1,1193625,1462539365013127919,Olga,,Thessaloniki,40.64008,22.95598,Entire home/apt,46,7,11,2025-07-28,0.07,6,302,1,1133335
817373,Hermes - Cosy central apartment,4293278,1462652874355363908,Andreas,,Thessaloniki,40.63968,22.93879,Entire home/apt,56,2,209,2024-12-31,1.27,2,88,0,00000057587
912803,This Must Be The Place,3835591,1462640630981559995,Olga,,Pavlou Mela,40.65929,22.93068,Private room,35,2,164,2026-06-13,1.05,1,179,7,00000477581
1006153,Kripis Studio Thessaloniki No4,1193625,1462539365013127919,Olga,,Thessaloniki,40.64058,22.95678,Entire home/apt,71,3,23,2026-06-04,0.21,6,239,4,1133335
1007872,Cozy studio in old city near city center,5543143,1462683301578599116,Giannis,,Thessaloniki,40.6378,22.9571,Entire home/apt,39,3,71,2026-06-14,0.65,1,270,8,00000332400
1013340,Kripis Studio Thessaloniki No2,1193625,1462539365013127919,Olga,,Thessaloniki,40.63974,22.95704,Entire home/apt,53,3,7,2026-03-14,0.07,6,267,1,1133335
1058022,Afrodite - Pantheon apartments,4293278,1462652874355363908,Andreas,,Thessaloniki,40.63955,22.93885,Entire home/apt,72,2,106,2022-12-18,0.66,2,88,0,00000126170
1060922,"The Epsilon Suite, a modern flat @ City center",5841701,1462690977825059923,Yiorgos,,Thessaloniki,40.6346435546875,22.94386863708496,Entire home/apt,106,4,89,2026-03-15,0.57,1,133,2,00001237460
1117177,Kripis Studio Thessaloniki No3,1193625,1462539365013127919,Olga,,Thessaloniki,40.64126,22.95705,Entire home/apt,51,4,9,2023-08-12,0.09,6,358,0,1133335
1397321,Kripis Studio Thessaloniki No5,1193625,1462539365013127919,Olga,,Thessaloniki,40.6396,22.95499,Entire home/apt,127,7,1,2020-01-01,0.01,6,179,0,Exempt
2086784,Waterfront #8Design - Bubblegum Box,10654206,1462575208681244404,Alexandra,,Thessaloniki,40.63177,22.94171,Entire home/apt,46,1,892,2026-06-15,5.86,26,331,49,00003558757
2174678,Art Gallery Center Apartment,7591507,1462736064398170725,Alexandros,,Thessaloniki,40.62761,22.94842,Entire home/apt,240,2,122,2026-05-10,0.99,1,343,9,00000510135
2417714,Thessaloniki Central Cozy Apartment wifi,12356276,1462885841099131162,Yiannis,,Thessaloniki,40.6415,22.94488,Entire home/apt,60,2,563,2026-05-31,3.75,2,365,37,00000357571
2525130,Luxurious fabulous modern studio - Panorama centre,12928977,1462584379251027383,Despina,,Pilea – Chortiatis,40.5926,23.03319,Entire home/apt,,3,5,2021-07-04,0.04,2,0,0,00000040650
2639807,Apollon - Central apartment,13516901,1462913069751456867,Ioulianos,,Thessaloniki,40.63948,22.93883,Entire home/apt,93,2,107,2022-04-17,0.72,1,82,0,00000161920
2656518,The bohemian studio by the centre,13597375,1462914900556770277,Filitsa,,Thessaloniki,40.60826,22.96228,Entire home/apt,47,2,146,2026-06-12,0.98,6,361,10,00002237438
2788858,Waterfront #7Design - CozyCityCenter Flat,10654206,1462575208681244404,Alexandra,,Thessaloniki,40.63176,22.94171,Entire home/apt,46,1,829,2026-06-18,5.59,26,301,64,00003602898
3276780,"Apartment in Ano Poli, Thessaloniki",16565876,1462989672674187034,Stathis,,Thessaloniki,40.63801,22.95393,Entire home/apt,35,1,113,2018-09-04,0.78,1,192,0,
3923918,Luxury  studio city,20326948,1463104698165163182,Raoul-Ernesto,,Thessaloniki,40.6119,22.97425,Entire home/apt,61,2,148,2026-05-03,1.03,2,339,16,00000147644
3929429,Thessaloniki Central Apartment wifi,12356276,1462885841099131162,Yiannis,,Thessaloniki,40.63684,22.95384,Entire home/apt,54,2,535,2026-06-07,3.72,2,363,34,00000283257
4186142,CityCenter Eclectic - #3Design CozyFlat,10654206,1462575208681244404,Alexandra,,Thessaloniki,40.64179,22.94335,Entire home/apt,97,1,781,2026-06-24,5.47,26,337,66,00003558640
4467736,Mini suite neighboring the centre,13597375,1462914900556770277,Filitsa,,Thessaloniki,40.60973,22.96299,Entire home/apt,49,2,116,2026-06-13,0.83,6,117,9,00002237464
4530300,Luxury studio,20326948,1463104698165163182,Raoul-Ernesto,,Thessaloniki,40.61252,22.97284,Entire home/apt,60,2,123,2026-05-17,0.87,2,364,13,00000147622
4560699,Velis apartment Thessaloniki,7886224,1462562865846630245,Velissarios,,Kalamaria,40.57776,22.94626,Entire home/apt,116,2,23,2025-08-15,0.17,1,339,1,00000262565
5499527,Super Stylish Central Studio,14213975,1462933180166789175,Konstantinos,,Thessaloniki,40.63542,22.9434,Entire home/apt,44,2,661,2026-06-11,4.87,1,339,24,00000214056
5520086,♠ Apartment next to University ♠,17489165,1463011300800220003,Andrew,,Thessaloniki,40.63086,22.95325,Entire home/apt,65,3,83,2026-05-25,0.61,3,236,8,00002500107
5693168,CityCenter Gem - #2Design CozyQuiet Flat,10654206,1462575208681244404,Alexandra,,Thessaloniki,40.64179,22.94335,Entire home/apt,64,1,480,2026-06-24,3.50,26,349,38,00003558720
5702461,Houseloft Koromila Sea View,29565272,1465435129496837056,Houseloft,,Thessaloniki,40.63002,22.94411,Entire home/apt,121,1,295,2026-05-22,2.17,28,333,11,00003714309
6279775,Waterfront #9Design - CozyCityCenter Studio,10654206,1462575208681244404,Alexandra,,Thessaloniki,40.63176,22.94171,Entire home/apt,40,1,808,2026-06-22,5.96,26,359,59,00003558778
6332299,Homy cosy studio towards the centre,13597375,1462914900556770277,Filitsa,,Thessaloniki,40.6097,22.96191,Entire home/apt,47,2,45,2026-06-23,0.34,6,203,3,00002237422
6408303,Studio / top floor / city center,33423195,1465489092905062733,Chris,,Thessaloniki,40.62843,22.9536,Entire home/apt,34,1,130,2026-02-22,0.99,1,234,15,00000124467
6408408,EVANGELIA: Only Good News Here...,33423743,1462661861513080920,Evangelia,,Thessaloniki,40.64017,22.94416,Private room,35,1,66,2022-10-04,0.49,1,179,0,00000378638
6478641,Apartment in the Historical Center of Thessaloniki,33849266,1462663320483499043,Athanasios,,Thessaloniki,40.64114,22.94394,Entire home/apt,79,2,221,2026-06-20,1.65,1,329,25,00000091790
6682912,thess1home,34979760,1462667148803699582,Thess1home Apartments,,Pilea – Chortiatis,40.59153,22.97563,Entire home/apt,,1,233,2025-07-01,1.74,9,0,0,00002931076
6773050,Penthouse in Ladadika District !,25211962,1465338016611695889,Elina,,Thessaloniki,40.63547,22.93888,Entire home/apt,77,3,91,2026-06-26,0.69,1,67,8,00003249285
6781712,Cozy & central flat with great view,35502056,1462668937041255680,Asteropi,,Thessaloniki,40.62205,22.9539,Private room,93,5,52,2022-09-11,0.39,1,362,0,00000161024
6831358,Trie City Experience,6077150,1462697364445588690,Evangelia,,Thessaloniki,40.62928,22.94926,Entire home/apt,,3,192,2026-01-03,1.43,1,0,9,00003051843
7609332,Ιn the heart of Thessaloniki 4 bd 180sqm apt,9531550,1462816531907213610,Katerina,,Thessaloniki,40.62995,22.94825,Entire home/apt,110,1,446,2026-06-03,3.37,12,292,39,00001111422
7710541,Tailor's Suites #1,40505568,1465603648054575954,Thanos,,Thessaloniki,40.6394717,22.9384145,Entire home/apt,82,1,81,2026-05-17,1.98,2,182,19,00002470248
7721006,Άνετο vintage διαμέρισμα με μεγάλο μπαλκόνι,25979571,1465353338681756227,Vasilia,,Thessaloniki,40.63551,22.95409,Entire home/apt,46,7,39,2025-04-21,0.32,1,363,0,00002248380
7766335,SWEET  Home 15'from airport @15'from center,40585741,1462685017224146503,Χριστινα,,Thessaloniki,40.60098,22.96422,Entire home/apt,48,2,297,2026-01-02,2.26,1,274,21,00000378810
8163226,Single room,43087202,1465639743671856801,Dimitra,,Ampelokipon – Menemeni,40.65041,22.93347,Private room,,14,23,2025-03-11,0.19,2,0,0,00000239172
8214869,Downtown Central Cozy3BD - #8Design Flat,10654206,1462575208681244404,Alexandra,,Thessaloniki,40.63719,22.95002,Entire home/apt,88,1,839,2026-06-24,6.40,26,333,76,00003558698
8269518,98m2 with Sea view and Parking spot | New,24967117,1465327817594946473,Angeliki,,Thessaloniki,40.61389856135103,22.98510415717036,Entire home/apt,95,6,3,2025-09-30,0.24,1,271,2,01244186707
8330733,Villa in Thessaloniki,43914534,1465652310064644483,Anastasios,,Pilea – Chortiatis,40.57767,23.03114,Entire home/apt,,2,50,2025-09-02,0.39,1,0,3,00000097550
8350326,"""Feels like taking home with you""!",8862760,1462788896815564425,Aimilios,,Kalamaria,40.58279,22.9658,Entire home/apt,79,2,39,2026-05-03,0.30,1,246,1,00000201604
8540269,Vintage 1930's flat in the center of Thessaloniki,44960779,1462698601857153569,George,,Thessaloniki,40.63995,22.94543,Entire home/apt,47,2,241,2026-05-31,2.39,1,141,18,00000037066
8609770,Passer Domesticus - Unique Living,24114811,1462628006307321180,Babis,,Thessaloniki,40.63712,22.93944,Entire home/apt,106,2,89,2026-05-24,0.83,1,174,4,00000328868
8820310,The SuperHeroes Apartment,1900494,1462521058476274397,Vassilis,,Thessaloniki,40.59944,22.97574,Entire home/apt,167,1,81,2026-05-04,0.63,1,168,5,00000434923
8987878,Elegant studio in Aristotelous Square,37912682,1465567286249041839,Βασιλικη,,Thessaloniki,40.63295,22.94004,Private room,91,3,171,2026-05-20,1.32,1,77,28,00003721173
9020776,Modern Cozy Studio (city center),24759607,1462630698931815707,Georgios,,Thessaloniki,40.6407,22.93661,Entire home/apt,54,3,210,2026-06-14,1.63,1,164,17,00000384426
9184637,Lovely flat at the historic center,47786468,1465721748382346600,Gregory,,Thessaloniki,40.6304,22.951,Entire home/apt,,31,56,2020-02-16,0.45,1,0,0,00000256438
9327845,"Sweet Home 1 # Natural Life, 20' from city center",43603727,1465647409610301089,Ioanna - Kostas,,Neapolis – Sykeon,40.65562057495117,22.9864444732666,Entire home/apt,70,2,50,2026-05-03,0.40,2,168,6,00000477107
10133783,Thess1Home Premium [new 2016],34979760,1462667148803699582,Thess1home Apartments,,Kalamaria,40.57659,22.96432,Entire home/apt,134,1,358,2026-03-22,2.82,9,79,5,00002465960
10579877,Sunny & Happy apartment in Historical center,3688135,1462637099857969535,Marianna,,Thessaloniki,40.63202244549462,22.952944278717062,Entire home/apt,112,1,160,2026-05-31,1.29,2,192,19,00000427734
10983314,"Balcony #5Design - SeaSideView, CityCenter Studio",10654206,1462575208681244404,Alexandra,,Thessaloniki,40.63176,22.94171,Entire home/apt,52,1,938,2026-06-16,7.43,26,313,83,00003602840
10988905,"Central, smart choice for 1 - 4 prs",57017231,1465931872827572488,Anninos,,Thessaloniki,40.61398,22.95581,Entire home/apt,50,3,97,2025-12-22,0.77,1,135,3,00000289500
11001184,Modern&Cozy Apartment with Balcony View in Evosmos,57087329,1465933029488487120,Anastasia,,Kordelio – Evosmos,40.66664,22.91616,Entire home/apt,110,2,50,2025-12-26,0.41,1,22,5,00000143231
11033155,Spiti mas,47104896,1465706488366840924,Kostis,,Thessaloniki,40.5992577,22.95498,Entire home/apt,82,2,8,2026-05-10,0.38,1,349,5,00002860896
