market,total,short_entire,as_of,count_type
New York City,30234.0,1614.0,2026-08-10,Airbnb listing IDs in a public snapshot
Barcelona,15406.0,7069.0,2026-06-24,Airbnb listing IDs in a public snapshot
Athens,14342.0,13276.0,2026-06-28,Airbnb listing IDs in a public snapshot
Paris,77679.0,54280.0,2026-06-16,Airbnb listing IDs in a public snapshot
Amsterdam,10465.0,8421.0,2026-06-15,Airbnb listing IDs in a public snapshot
Montreal,10677.0,4159.0,2026-06-15,Airbnb listing IDs in a public snapshot
Madrid,22835.0,13903.0,2026-06-20,Airbnb listing IDs in a public snapshot
Florence,13508.0,10640.0,2026-06-26,Airbnb listing IDs in a public snapshot
Ireland,32456.0,22199.0,2026-06-21,Airbnb listing IDs in a public snapshot
London,92799.0,59998.0,2026-06-19,Airbnb listing IDs in a public snapshot
Edinburgh,6258.0,4425.0,2026-06-23,Airbnb listing IDs in a public snapshot
Vancouver,6656.0,3951.0,2026-07-14,Airbnb listing IDs in a public snapshot
Victoria,3562.0,2074.0,2026-07-24,Airbnb listing IDs in a public snapshot
Mallorca,14901.0,13489.0,2026-06-23,Airbnb listing IDs in a public snapshot
Menorca,3620.0,3448.0,2026-06-30,Airbnb listing IDs in a public snapshot
Crete,27333.0,24723.0,2026-06-29,Airbnb listing IDs in a public snapshot
Lisbon municipality,17098.0,12227.0,2026-06-23,Airbnb listing IDs in a public snapshot
Porto municipality,11070.0,9464.0,2026-06-23,Airbnb listing IDs in a public snapshot
Maui County,12687.0,11473.0,2026-06-21,Airbnb listing IDs in a public snapshot
Thessaloniki municipality,4408.0,4244.0,2026-06-29,Airbnb listing IDs in a public snapshot
Spain (INE),341001.0,,2026-05,Tourist dwellings advertised across platforms (INE)
Canary Islands (INE),48356.0,,2026-05,Tourist dwellings advertised across platforms (INE)
Balearic Islands (INE),21304.0,,2026-05,Tourist dwellings advertised across platforms (INE)
Malaga (INE),8288.0,,2026-05,Tourist dwellings advertised across platforms (INE)
Ibiza island (INE),2314.0,,2026-05,Tourist dwellings advertised across platforms (INE)
Portugal,119147.0,,2026-06-11,"RNAL active registrations, reported by ALEP via ECO"
Greece,203122.0,,2026-03,"Finalized property registrations, ELSTAT"
Scotland,32317.0,,2025-12-31,Licences or exemptions in operation
British Columbia,23000.0,,2026-06-02,"Approximate active STR listings, government report"
Budapest district VI,2226.0,,2024-08,Legal private and other accommodation establishments
England,,,2026-09-05,National Airbnb total unresolved
European Union,,,2026-09-05,EU Airbnb total unresolved
