owner,plan,shares,value_musd,first,last,n
BALOGH ARISTOTLE N,"November 29, 2023",443978.0,71.1,2023-12-26,2024-10-29,52
BALOGH ARISTOTLE N,"August 30, 2024",43888.0,6.1,2024-12-02,2025-04-29,20
BALOGH ARISTOTLE N,"February 27, 2025",17075.0,2.2,2025-05-29,2025-11-28,27
BALOGH ARISTOTLE N,"August 27, 2025",36552.0,4.7,2025-12-01,2025-12-19,7
Bernstein David C,"May 30, 2023",23572.0,3.3,2023-12-07,2024-06-04,2
Bernstein David C,"February 22, 2024",4000.0,0.6,2024-06-14,2024-12-09,3
Bernstein David C,"February 26, 2025",16000.0,2.2,2025-06-05,2025-07-24,4
Bernstein David C,"May 26, 2026",5224.0,1.0,2026-09-01,2026-09-01,1
Blecharczyk Nathan,"May 30, 2023",677818.0,99.3,2023-12-06,2024-03-06,56
Blecharczyk Nathan,"May 31, 2024",392565.0,58.9,2024-08-29,2025-08-20,8
Blecharczyk Nathan,"August 28, 2025",1627685.0,264.7,2025-11-28,2026-09-14,82
Chesky Brian,"May 31, 2023",1651229.0,228.8,2023-11-28,2024-02-20,55
Chesky Brian,"February 29, 2024",635425.0,94.2,2024-05-30,2024-07-22,24
Chesky Brian,"February 28, 2024",423075.0,52.2,2024-08-05,2024-10-14,4
Chesky Brian,"August 22, 2024",992538.0,144.1,2024-11-25,2025-04-01,48
Chesky Brian,"February 27, 2025",24500.0,3.4,2025-05-29,2025-06-06,11
Chesky Brian,"August 25, 2025",60000.0,7.9,2025-12-12,2025-12-15,4
Chesky Brian,"February 26, 2026",1260000.0,177.9,2026-05-27,2026-08-07,76
Gebbia Joseph,"February 29, 2024",1085221.0,162.0,2024-06-12,2024-10-29,22
Gebbia Joseph,"August 20, 2024",3019438.0,389.6,2024-11-19,2025-05-20,71
Gebbia Joseph,"February 26, 2025",3302509.0,420.5,2025-05-28,2025-11-24,48
Gebbia Joseph,"August 29, 2025",752860.0,98.9,2025-12-01,2026-05-26,68
Gebbia Joseph,"February 27, 2026",3450000.0,510.9,2026-06-01,2026-07-28,39
Mertz Elinor,"August 31, 2023",16774.0,2.5,2024-03-05,2024-06-03,2
Mertz Elinor,"May 31, 2024",131895.0,17.9,2024-09-03,2025-08-04,18
Mertz Elinor,"May 30, 2025",74433.0,9.9,2025-09-02,2026-08-03,14
