price,cdf_decomp,cdf_anchor,cdf_final
60.0,0.0,1.1938916395315726e-08,4.178620738360504e-09
60.25,0.0,1.3581954419329857e-08,4.753684046765449e-09
60.5,0.0,1.5435329038328444e-08,5.402365163414955e-09
60.75,0.0,1.7523883324498436e-08,6.133359163574452e-09
61.0,0.0,1.9875138358453737e-08,6.956298425458807e-09
61.25,0.0,2.2519552763360547e-08,7.88184346717619e-09
61.5,0.0,2.5490804349557693e-08,8.921781522345193e-09
61.75,0.0,2.882609546489651e-08,1.0089133412713779e-08
62.0,0.0,3.25664837365296e-08,1.1398269307785358e-08
62.25,0.0,3.675723998362546e-08,1.286503399426891e-08
62.5,0.0,4.144823517748265e-08,1.4506882312118927e-08
62.75,0.0,4.6694358425706685e-08,1.634302544899734e-08
63.0,0.0,5.25559680605346e-08,1.8394588821187108e-08
63.25,0.0,5.9099378017859776e-08,2.068478230625092e-08
63.5,0.0,6.63973818031247e-08,2.3239083631093647e-08
63.75,0.0,7.452981645281618e-08,2.608543575848566e-08
64.0,0.0,8.35841690157606e-08,2.9254459155516208e-08
64.25,0.0,9.365622819674305e-08,3.2779679868860066e-08
64.5,0.0,1.0485078392585665e-07,3.6697774374049825e-08
64.75,0.0,1.1728237774065104e-07,4.1048832209227863e-08
65.0,0.0,1.3107610699391343e-07,4.58766374478697e-08
65.25,0.0,1.4636848602829963e-07,5.1228970109904866e-08
65.5,0.0,1.6330836758906814e-07,5.7157928656173844e-08
65.75,0.0,1.820579278785391e-07,6.372027475748868e-08
66.0,0.0,2.0279371878953346e-07,7.097780157633671e-08
66.25,0.0,2.2570779099038695e-07,7.899772684663543e-08
66.5,0.0,2.510088916705749e-07,8.78531120847012e-08
66.75,0.0,2.789237408934272e-07,9.76233093126995e-08
67.0,0.0,3.0969839064044607e-07,1.0839443672415612e-07
67.25,0.0,3.4359967077024666e-07,1.202598847695863e-07
67.5,0.0,3.809167262536611e-07,1.3332085418878136e-07
67.75,0.0,4.219626501848881e-07,1.4768692756471082e-07
68.0,0.0,4.670762172062915e-07,1.6347667602220202e-07
68.25,0.0,5.166237221211292e-07,1.8081830274239522e-07
68.5,0.0,5.710009286042315e-07,1.99850325011481e-07
68.75,0.0,6.306351330541078e-07,2.2072229656893773e-07
69.0,0.0,6.959873487619973e-07,2.4359557206669904e-07
69.25,0.0,7.675546157024625e-07,2.686441154958619e-07
69.5,0.0,8.458724413764036e-07,2.960553544817412e-07
69.75,0.0,9.315173782604336e-07,3.2603108239115174e-07
70.0,0.0,1.0251097435357035e-06,3.587884102374962e-07
70.25,0.0,1.1273164868840511e-06,3.9456077040941787e-07
70.5,0.0,1.2388542122500622e-06,4.3359897428752174e-07
70.75,0.0,1.3604923595717342e-06,4.761723258501069e-07
71.0,0.0,1.4930565525827382e-06,5.225697934039584e-07
71.25,0.0,1.6374321188818367e-06,5.731012416086428e-07
71.5,0.0,1.7945677885518235e-06,6.280987259931382e-07
71.75,0.0,1.965479577689709e-06,6.879178521913981e-07
72.0,0.0,2.1512548632810933e-06,7.529392021483826e-07
72.25,0.0,2.3530566559164447e-06,8.235698295707557e-07
72.5,0.0,2.5721280769002348e-06,9.002448269150821e-07
72.75,0.0,2.8097970463510954e-06,9.834289662228834e-07
73.0,0.0,3.067481188926103e-06,1.073618416124136e-06
73.25,0.0,3.3466929638292974e-06,1.171342537340254e-06
73.5,0.0,3.6490450257782216e-06,1.2771657590223776e-06
73.75,0.0,3.976255823608702e-06,1.3916895382630458e-06
74.0,0.0,4.330155443187041e-06,1.5155544051154642e-06
74.25,0.0,4.712691701283793e-06,1.6494420954493276e-06
74.5,0.0,5.1259364970269205e-06,1.794077773959422e-06
74.75,0.0,5.572092427509014e-06,1.9502323496281545e-06
75.0,0.0,6.053499674064758e-06,2.118724885922665e-06
75.25,0.0,6.572643165662761e-06,2.3004251079819663e-06
75.5,0.0,7.132160025766008e-06,2.4962560090181025e-06
75.75,0.0,7.734847308921252e-06,2.707196558122438e-06
76.0,0.0,8.38367003321099e-06,2.9342845116238464e-06
76.25,0.0,9.08176951458213e-06,3.178619330103745e-06
76.5,2.5e-06,9.832472008907195e-06,5.066365203117519e-06
76.75,2.5e-06,1.0639297667480294e-05,5.348754183618103e-06
77.0,5e-06,1.1505969811462895e-05,7.277089434012013e-06
77.25,5e-06,1.2436424530608022e-05,7.6027485857128075e-06
77.5,5e-06,1.34348206113687e-05,7.952187213979045e-06
77.75,5e-06,1.4505549799277478e-05,8.326942429747117e-06
78.0,5e-06,1.5653247400232686e-05,8.72863659008144e-06
78.25,5e-06,1.6882803225063995e-05,9.1589811287724e-06
78.5,5e-06,1.8199372881474324e-05,9.619780508516014e-06
78.75,1e-05,1.960838941715427e-05,1.3362936296003994e-05
79.0,1.5e-05,2.111557531755175e-05,1.714045136114311e-05
79.25,1.75e-05,2.272695486144763e-05,1.932943420150667e-05
