state,c01_below,c02_cd,prob,model_mean,p5,p10,p25,p50,p75,p90,p95,mean,sd,rms,p_le_m8,p_le_m5,p_lt_0,p_ge_5,p_ge_10,p_abs_ge_7,p_abs_ge_10,p_abs_ge_15,p_lt_m15,p_lt_m25,p_ge_17,below_m40,above_p40,n
decel,True,True,0.3584,-7.8,-19.19,-16.03,-11.01,-5.08,1.15,7.69,12.63,-4.62,9.7,10.75,0.374,0.503,0.708,0.144,0.074,0.527,0.364,0.1551,0.1238,0.0127,0.0188,0.0016,0.0011,215021
decel,True,False,0.0939,-7.78,-19.32,-16.03,-11.02,-5.02,1.25,7.7,12.47,-4.62,9.7,10.74,0.373,0.501,0.706,0.145,0.074,0.527,0.364,0.1522,0.1225,0.013,0.0183,0.0017,0.001,56365
decel,False,True,0.0931,-5.56,-17.34,-14.34,-9.37,-3.59,2.32,8.48,12.91,-3.28,9.32,9.88,0.305,0.438,0.661,0.168,0.079,0.473,0.306,0.1194,0.0867,0.0086,0.0196,0.0015,0.001,55856
decel,False,False,0.0491,-5.52,-17.13,-14.23,-9.47,-3.62,2.22,8.44,12.94,-3.31,9.22,9.8,0.309,0.439,0.663,0.166,0.08,0.475,0.31,0.1153,0.0835,0.0075,0.0196,0.0014,0.0008,29460
flat,True,True,0.0297,-2.11,-14.95,-12.06,-7.08,-1.41,4.19,10.15,13.78,-1.29,8.94,9.03,0.218,0.336,0.571,0.221,0.102,0.416,0.255,0.0868,0.0496,0.005,0.022,0.0017,0.0011,17848
flat,True,False,0.0303,-2.13,-14.74,-11.89,-7.06,-1.42,4.11,9.93,13.8,-1.26,8.93,9.02,0.215,0.333,0.569,0.219,0.099,0.414,0.248,0.0865,0.0476,0.0047,0.023,0.0016,0.0012,18200
flat,False,True,0.0084,-0.0,-13.78,-10.76,-5.84,-0.03,5.58,11.25,14.8,0.06,8.83,8.83,0.172,0.279,0.501,0.269,0.126,0.408,0.245,0.0835,0.0363,0.0036,0.0259,0.0006,0.001,5065
flat,False,False,0.0168,0.04,-13.88,-10.88,-5.71,-0.13,5.46,11.38,14.51,-0.01,8.81,8.81,0.174,0.278,0.507,0.267,0.125,0.405,0.245,0.0803,0.0366,0.0032,0.0244,0.0009,0.0009,10084
accel,True,True,0.0886,2.56,-12.63,-9.52,-4.12,1.48,7.29,12.84,15.98,1.57,8.91,9.05,0.134,0.219,0.428,0.336,0.166,0.42,0.258,0.0894,0.026,0.0028,0.0384,0.0009,0.0011,53146
accel,True,False,0.1199,2.49,-12.59,-9.57,-4.14,1.43,7.21,12.81,15.96,1.53,8.94,9.07,0.134,0.22,0.43,0.336,0.163,0.416,0.255,0.0903,0.0272,0.0029,0.0376,0.0012,0.0012,71969
accel,False,True,0.0303,4.67,-11.8,-8.54,-2.93,2.91,8.87,14.24,16.93,2.84,9.12,9.56,0.111,0.183,0.371,0.404,0.214,0.451,0.29,0.1053,0.022,0.003,0.0489,0.0012,0.0012,18162
accel,False,False,0.0814,4.71,-11.86,-8.53,-2.82,2.9,8.87,14.2,17.23,2.93,9.07,9.53,0.11,0.181,0.363,0.403,0.211,0.45,0.287,0.1078,0.0231,0.002,0.0529,0.0007,0.0013,48824
