,prob,p5,p10,p25,p50,p75,p90,p95,mean,sd,rms,p_le_m8,p_le_m5,p_lt_0,p_ge_5,p_ge_10,p_abs_ge_7,p_abs_ge_10,p_abs_ge_15,p_lt_m15,p_lt_m25,p_ge_17,below_m40,above_p40,n
base case: decel & C01 below & C02 c/d (three gates),0.3584,-19.19,-16.03,-11.01,-5.08,1.15,7.69,12.63,-4.62,9.7,10.75,0.374,0.503,0.708,0.144,0.074,0.527,0.364,0.1551,0.1238,0.0127,0.0188,0.0016,0.0011,215021.0
"base case, model branch only (Z = 1)",0.2152,-21.08,-17.93,-13.11,-7.82,-2.56,2.25,5.42,-7.8,8.48,11.52,0.491,0.641,0.842,0.055,0.017,0.576,0.406,0.1856,0.1796,0.0195,0.0043,0.0018,0.0011,129098.0
two gates: decel & C01 below,0.4523,-19.22,-16.03,-11.01,-5.07,1.17,7.69,12.6,-4.62,9.7,10.75,0.374,0.503,0.707,0.145,0.074,0.527,0.364,0.1545,0.1235,0.0128,0.0187,0.0016,0.001,271386.0
decel (any),0.5945,-18.78,-15.63,-10.64,-4.71,1.46,7.91,12.69,-4.31,9.62,10.54,0.358,0.487,0.696,0.15,0.075,0.514,0.35,0.1458,0.1145,0.0117,0.0189,0.0016,0.001,356702.0
flat (any),0.0853,-14.55,-11.7,-6.69,-1.0,4.55,10.44,14.07,-0.89,8.92,8.96,0.204,0.318,0.551,0.234,0.108,0.412,0.25,0.0851,0.045,0.0044,0.0232,0.0014,0.0011,51197.0
accel (any),0.3202,-12.38,-9.22,-3.7,1.95,7.82,13.37,16.41,2.02,9.01,9.23,0.126,0.206,0.407,0.36,0.181,0.429,0.267,0.0959,0.0253,0.0027,0.0428,0.001,0.0012,192101.0
thesis breaker: accel & C01 at/above,0.1116,-11.84,-8.54,-2.85,2.9,8.87,14.22,17.13,2.9,9.08,9.54,0.11,0.181,0.365,0.404,0.212,0.45,0.288,0.1071,0.0228,0.0023,0.0518,0.0008,0.0013,66986.0
"thesis breaker, model branch only (Z = 1)",0.0675,-8.32,-5.28,-0.55,4.66,9.95,14.74,17.76,4.68,8.4,9.62,0.054,0.106,0.274,0.483,0.247,0.449,0.281,0.1047,0.0105,0.0023,0.0594,0.0009,0.0014,40483.0
accel & C01 below,0.2085,-12.61,-9.55,-4.13,1.45,7.25,12.82,15.97,1.55,8.93,9.06,0.134,0.22,0.429,0.336,0.164,0.418,0.256,0.0899,0.0267,0.0029,0.0379,0.0011,0.0012,125115.0
decel & C01 at/above,0.1422,-17.25,-14.3,-9.41,-3.6,2.29,8.46,12.92,-3.29,9.28,9.85,0.306,0.438,0.661,0.168,0.079,0.474,0.307,0.118,0.0856,0.0082,0.0196,0.0015,0.0009,85316.0
C01 below (any print),0.7209,-17.65,-14.45,-9.15,-2.73,3.56,10.15,14.09,-2.56,9.82,10.15,0.291,0.407,0.615,0.206,0.102,0.486,0.323,0.1302,0.0893,0.0093,0.0246,0.0015,0.0011,432549.0
C01 at/above (any print),0.2791,-15.44,-12.4,-6.98,-0.64,5.64,11.97,15.35,-0.51,9.62,9.64,0.216,0.321,0.529,0.271,0.137,0.458,0.294,0.1103,0.056,0.0054,0.0329,0.0011,0.0011,167451.0
C02 c/d (any print),0.6085,-17.85,-14.7,-9.48,-3.17,3.14,9.79,13.88,-2.92,9.8,10.22,0.305,0.425,0.634,0.194,0.097,0.492,0.329,0.1333,0.094,0.0097,0.0235,0.0014,0.0011,365098.0
C02 a/b/e (any print),0.3915,-15.65,-12.51,-6.95,-0.57,5.62,11.83,15.25,-0.55,9.65,9.67,0.216,0.318,0.526,0.271,0.135,0.456,0.294,0.1112,0.0583,0.0059,0.0322,0.0013,0.0011,234902.0
nights >= 10.0 (R01 Yes),0.4259,-13.41,-10.29,-4.77,1.07,7.0,12.78,15.92,1.13,9.17,9.24,0.152,0.242,0.449,0.324,0.161,0.43,0.267,0.0958,0.0334,0.0035,0.0376,0.0011,0.0012,255519.0
nights < 10.0 (R01 No),0.5741,-18.78,-15.64,-10.65,-4.71,1.46,7.91,12.7,-4.31,9.62,10.54,0.358,0.487,0.696,0.15,0.075,0.514,0.351,0.146,0.1146,0.0117,0.019,0.0015,0.001,344481.0
