variant,p5,p10,p25,p50,p75,p90,p95,mean,sd,rms,p_le_m8,p_le_m5,p_lt_0,p_ge_5,p_ge_10,p_abs_ge_7,p_abs_ge_10,p_abs_ge_15,p_lt_m25,p_ge_17,below_m40,above_p40,n,base_case_prob,base_case_p50,base_case_p_le_m8,base_case_p_lt_0
base (revision 2),-16.11,-12.91,-7.73,-2.07,3.65,8.92,12.23,-2.02,9.0,9.22,0.24,0.363,0.597,0.203,0.08,0.423,0.253,0.0907,0.0069,0.0167,0.0013,0.0012,600000,0.358,-4.67,0.335,0.724
"print states rev-1 N(9.55,1.48): decel .642 / flat .116 / accel .241",-16.34,-13.17,-8.05,-2.45,3.21,8.46,11.73,-2.4,8.93,9.25,0.252,0.379,0.616,0.188,0.073,0.424,0.255,0.0918,0.0072,0.015,0.0013,0.0012,600000,0.384,-4.66,0.335,0.724
"print states Street/Kalshi N(11.0,1.7): decel .30 / flat .10 / accel .60",-14.46,-11.2,-5.93,-0.24,5.41,10.57,13.78,-0.28,8.97,8.98,0.18,0.286,0.511,0.265,0.112,0.406,0.238,0.0821,0.0053,0.0233,0.0012,0.0013,600000,0.186,-4.69,0.336,0.725
"print states R01 normal N(9.67,1.70) untouched: decel .598 / flat .108 / accel .294",-16.15,-12.96,-7.79,-2.15,3.55,8.81,12.11,-2.1,8.98,9.22,0.242,0.367,0.601,0.199,0.079,0.422,0.253,0.0907,0.007,0.0163,0.0013,0.0012,600000,0.36,-4.66,0.335,0.724
kappa 0.4,-14.97,-11.84,-6.82,-1.36,4.11,9.15,12.33,-1.35,8.72,8.82,0.206,0.326,0.567,0.217,0.084,0.396,0.228,0.0764,0.0057,0.0167,0.0013,0.0012,600000,0.358,-3.11,0.266,0.655
kappa 0.5 (rev-1 effective weight),-15.52,-12.35,-7.27,-1.71,3.87,9.02,12.25,-1.69,8.85,9.0,0.223,0.345,0.583,0.209,0.082,0.408,0.239,0.0827,0.0062,0.0166,0.0013,0.0012,600000,0.358,-3.89,0.3,0.69
kappa 0.8,-17.37,-14.09,-8.75,-2.8,3.27,8.84,12.31,-2.7,9.38,9.76,0.278,0.402,0.623,0.194,0.08,0.457,0.287,0.111,0.0089,0.0176,0.0014,0.0012,600000,0.358,-6.22,0.411,0.785
"kappa 1.0 (decomposition, no shrinkage)",-18.73,-15.39,-9.87,-3.56,2.97,8.95,12.56,-3.38,9.85,10.41,0.318,0.44,0.645,0.189,0.083,0.497,0.328,0.1374,0.0119,0.0191,0.0015,0.0012,600000,0.358,-7.77,0.489,0.837
S1 from W2 alone (decel -6.89 / flat +0.40 / accel +7.69),-16.68,-13.4,-8.04,-2.05,4.07,9.7,13.2,-1.94,9.43,9.63,0.252,0.371,0.59,0.219,0.095,0.45,0.279,0.1056,0.0077,0.0214,0.0014,0.0012,600000,0.358,-5.49,0.375,0.758
S1 from n16 alone (decel -4.02 / flat -0.67 / accel +2.69),-15.79,-12.62,-7.52,-1.96,3.63,8.79,12.03,-1.93,8.86,9.07,0.232,0.356,0.594,0.201,0.078,0.412,0.243,0.0849,0.0066,0.0158,0.0013,0.0012,600000,0.358,-4.2,0.314,0.704
guide term weight 0 (S1 only),-15.39,-12.19,-7.07,-1.46,4.19,9.4,12.68,-1.42,8.92,9.03,0.216,0.335,0.57,0.221,0.089,0.41,0.242,0.084,0.006,0.0184,0.0013,0.0012,600000,0.358,-3.64,0.289,0.679
guide term weight 0.4 (rev 1),-16.61,-13.37,-8.15,-2.44,3.36,8.67,12.01,-2.38,9.08,9.39,0.256,0.381,0.612,0.194,0.076,0.433,0.263,0.0967,0.0077,0.016,0.0014,0.0012,600000,0.358,-5.28,0.365,0.748
no positioning term,-15.61,-12.43,-7.3,-1.7,3.94,9.14,12.4,-1.67,8.91,9.07,0.224,0.346,0.581,0.212,0.084,0.412,0.243,0.0849,0.0063,0.0172,0.0013,0.0012,600000,0.358,-4.07,0.308,0.698
positioning term -2.5,-16.88,-13.64,-8.4,-2.62,3.23,8.61,11.99,-2.56,9.15,9.5,0.265,0.391,0.62,0.19,0.076,0.44,0.27,0.1006,0.008,0.016,0.0014,0.0012,600000,0.358,-5.57,0.379,0.761
C02 return effect -1.0 on c/d,-16.54,-13.33,-8.14,-2.44,3.32,8.61,11.95,-2.39,9.04,9.35,0.255,0.381,0.613,0.192,0.076,0.431,0.261,0.0951,0.0075,0.0157,0.0014,0.0012,600000,0.358,-5.27,0.364,0.749
