print_quarter,target_period,value_low,value_high,value_mid,actual,cushion_pct,is_q4
3Q21,4Q21,1390.0,1480.0,1435.0,1532.0,6.759581881533094,True
4Q21,1Q22,1410.0,1480.0,1445.0,1509.0,4.429065743944638,False
1Q22,2Q22,2030.0,2130.0,2080.0,2104.0,1.1538461538461497,False
2Q22,3Q22,2780.0,2880.0,2830.0,2884.0,1.90812720848057,False
3Q22,4Q22,1800.0,1880.0,1840.0,1902.0,3.3695652173913127,True
4Q22,1Q23,1750.0,1820.0,1785.0,1818.0,1.8487394957983128,False
1Q23,2Q23,2350.0,2450.0,2400.0,2484.0,3.499999999999992,False
2Q23,3Q23,3300.0,3400.0,3350.0,3397.0,1.4029850746268613,False
3Q23,4Q23,2130.0,2170.0,2150.0,2218.0,3.1627906976744224,True
4Q23,1Q24,2030.0,2070.0,2050.0,2142.0,4.4878048780487845,False
1Q24,2Q24,2680.0,2740.0,2710.0,2748.0,1.4022140221402246,False
2Q24,3Q24,3670.0,3730.0,3700.0,3732.0,0.864864864864856,False
3Q24,4Q24,2390.0,2440.0,2415.0,2480.0,2.69151138716357,True
4Q24,1Q25,2230.0,2270.0,2250.0,2272.0,0.9777777777777885,False
1Q25,2Q25,2990.0,3050.0,3020.0,3096.0,2.516556291390737,False
2Q25,3Q25,4020.0,4100.0,4060.0,4095.0,0.8620689655172376,False
3Q25,4Q25,2660.0,2720.0,2690.0,2778.0,3.271375464684012,True
4Q25,1Q26,2590.0,2630.0,2610.0,2678.0,2.605363984674325,False
1Q26,2Q26,3540.0,3600.0,3570.0,3608.0,1.0644257703081195,False
2Q26,3Q26,4690.0,4770.0,4730.0,,,False
