print_quarter,print_date,nq_nights_dir,nq_nights_guide_pts,fy_rev_action,fy_rev_delta_pts,fy_rev_guide_mid,fy_margin_action,fy_margin_delta_pts,fy_numeric_present,ret_1d,exc_1d
2020Q4,2021-02-25,,,none,,,first,0.0,0.0,13.3,12.9
2021Q1,2021-05-13,,,none,,,first,0.0,0.0,4.0,1.8
2021Q2,2021-08-12,-1.0,-2.0,none,,,none,,0.0,1.1,0.7
2021Q3,2021-11-04,0.0,0.0,none,,,none,,0.0,13.0,12.9
2021Q4,2022-02-15,1.0,2.0,none,,,first,0.0,1.0,3.6,3.7
2022Q1,2022-05-03,,,none,,,reiterated,0.0,1.0,7.7,4.3
2022Q2,2022-08-02,0.0,0.0,none,,,reiterated,0.0,1.0,-1.1,-3.9
2022Q3,2022-11-01,-1.0,-2.0,none,,,none,,0.0,-13.4,-10.0
2022Q4,2023-02-14,0.0,0.0,none,,,first,0.0,1.0,13.4,12.6
2023Q1,2023-05-09,-1.0,-2.0,none,,,reiterated,0.0,1.0,-10.9,-12.0
2023Q2,2023-08-03,1.0,2.0,none,,,reiterated,0.0,1.0,-0.5,-0.0
2023Q3,2023-11-01,-1.0,-2.0,none,,,raised,1.5,1.0,-3.3,-5.1
2023Q4,2024-02-13,-1.0,-2.0,none,,,first,0.0,1.0,-1.7,-2.8
2024Q1,2024-05-08,0.0,0.0,none,,,reiterated,0.0,1.0,-6.9,-7.1
2024Q2,2024-08-06,-1.0,-2.0,none,,,reiterated,0.0,1.0,-13.4,-12.3
2024Q3,2024-11-07,1.0,2.0,none,,,raised,0.5,1.0,-8.7,-8.8
2024Q4,2025-02-13,0.0,0.0,none,,,first,0.0,1.0,14.4,14.0
2025Q1,2025-05-01,-1.0,-2.0,none,,,reiterated,0.0,1.0,1.0,-0.5
2025Q2,2025-08-06,0.0,0.0,none,,,reiterated,0.0,1.0,-8.0,-8.4
2025Q3,2025-11-06,,-3.789999999999999,none,,,raised,0.5,1.0,0.3,0.6
2025Q4,2026-02-12,,-1.8200000000000005,first,0.0,11.0,first,0.0,1.0,4.6,4.4
2026Q1,2026-05-07,-1.0,-2.0,raised,3.0,14.0,first,0.0,1.0,0.7,-1.6
2026Q2,2026-08-06,,0.6600000000000001,raised,1.0,15.0,raised,0.5,1.0,17.4,16.3
