u_3Q26_pct,rev_4q26_musd,uf_musd,uf_yoy_pct,yes
12.0,3130,1859,2.1,False
12.0,3170,1882,3.4,False
12.0,3240,1924,5.7,False
14.0,3130,1816,-0.2,False
14.0,3170,1839,1.1,False
14.0,3240,1880,3.3,False
15.0,3130,1795,-1.4,False
15.0,3170,1818,-0.1,False
15.0,3240,1858,2.1,False
16.0,3130,1774,-2.5,False
16.0,3170,1797,-1.3,False
16.0,3240,1836,0.9,False
17.0,3130,1753,-3.7,True
17.0,3170,1775,-2.5,False
17.0,3240,1815,-0.3,False
17.7,3130,1738,-4.5,True
17.7,3170,1760,-3.3,True
17.7,3240,1799,-1.1,False
18.0,3130,1732,-4.8,True
18.0,3170,1754,-3.6,True
18.0,3240,1793,-1.5,False
20.0,3130,1690,-7.2,True
20.0,3170,1711,-6.0,True
20.0,3240,1749,-3.9,True
22.0,3130,1647,-9.5,True
22.0,3170,1668,-8.3,True
22.0,3240,1705,-6.3,True
25.0,3130,1584,-13.0,True
25.0,3170,1604,-11.9,True
25.0,3240,1640,-9.9,True
