yr,mean,sd,p,n
2006,-0.0125,0.0114,0.0,260
2007,-0.0389,0.0103,0.4077,260
2008,0.0559,0.0688,0.0038,262
2009,-0.031,0.0407,0.4699,249
2010,-0.0252,0.0303,0.3537,246
2011,0.013,0.035,0.0319,251
2012,0.0037,0.0224,0.0,249
2013,0.0105,0.0124,0.0,249
2014,0.049,0.039,0.0,246
2015,0.0257,0.0223,0.0,249
2016,0.0122,0.0303,0.0524,248
2017,-0.026,0.02,0.2932,249
2018,0.0237,0.0234,0.0,248
2019,0.0175,0.024,0.0,248
2020,-0.0277,0.0318,0.416,250
2021,0.0167,0.0117,0.0,249
2022,0.0116,0.0468,0.14,250
2023,0.0043,0.0176,0.0,249
2024,0.0155,0.0269,0.0359,251
2025,-0.0232,0.0237,0.264,250
2026,0.0044,0.0165,0.0,70
