item,value
spot_11sep,118.2126
beta_broad_on_dxy,0.57216
spot_16sep_est,119.02255
threshold_level,114.26164
threshold_log,-0.04082
horizon_obs,100.0
horizon_analog_2025_26_obs,100.0
n_windows,5088.0
mean_Hd,0.00355
sd_Hd,0.03883
P_empirical_all,0.11675
P_empirical_2010plus,0.09564
P_empirical_2015plus,0.10689
zero_episode_years,10.0
n_years,21.0
nonoverlap_blocks_n,51.0
nonoverlap_block_p_mean_over_phases,0.11678
nonoverlap_block_p_min,0.05882
nonoverlap_block_p_max,0.19608
se_binomial_on_blocks,0.04497
E_move_given_yes,-0.05527
median_move_given_yes,-0.05275
n_tail,594.0
rv63,0.03959
rv126,0.04222
rv252,0.0412
rv_full,0.05412
P_regime_quintile1,0.095
fwd_vol_after_quintile1_start,0.0462
P_regime_band_pm1pp,0.05948
fwd_vol_after_band_start,0.04804
P_momentum_band,0.10423
beta_broad_on_eur_daily_2024plus,-0.61962
eur_16sep,1.15376
eur_poll_interp_at_11feb,1.16621
drift_poll_Hd,-0.00665
rv252_dxy,0.0525
ratio_dxy_over_broad_rv,1.27419
implied_vol_used,0.048
forward_vol_used,0.0462
P_normal_fwdvol_poll,0.12015
P_t4_fwdvol_poll,0.08607
P_normal_fwdvol_zero,0.08036
P_t4_fwdvol_zero,0.05915
P_normal_rv252_poll,0.09396
P_normal_implied_poll,0.1292
P_t4_implied_poll,0.09261
P_normal_implied_zero,0.0885
leg_empirical_regime,0.1
leg_parametric_forward_vol,0.1031
leg_implied_construction,0.1109
final_blend,0.1044
UUP_jan27_call_K28_iv_bid_mid_ask,"0.006 / 0.052 / 0.081 (oi 6924, vol 59)"
UUP_jan27_put_K28_iv_bid_mid_ask,"0.073 / 0.141 / 0.207 (oi 2180, vol 8)"
zero_episode_year_list,2006 2008 2013 2014 2015 2018 2019 2021 2023 2026
