centre,sd,p_r01,p_r02,p_r01_exact_threshold,p_r02_exact_threshold,p_s01_accel,p_s01_flat,p_s01_decel
9.0,1.0,0.16047319027209528,0.05576908534253244,0.15151905793816833,0.051683769252679035,0.05591740251946942,0.08193916951256608,0.8621434279679645
9.0,1.25,0.21359422970082975,0.1014994593896632,0.20498338886347833,0.09628840294703922,0.10168655963466966,0.08991762914080403,0.8083958112245263
9.0,1.475,0.2505294237207343,0.14034913637277213,0.2425275883202267,0.13476999709128368,0.14054833884089546,0.08943259531062431,0.7700190658484802
9.0,1.634,0.2717382171305821,0.16499871550652,0.2641922402375455,0.15937528509747867,0.16519897324920807,0.08711061617866833,0.7476904105721236
9.0,1.7,0.2796665604885955,0.17461882150552932,0.2723081352773504,0.16901024369466233,0.17481837297947433,0.08588564454460212,0.7392959824759235
9.0,1.816,0.29233390877313303,0.1904224740563476,0.2852927738649994,0.18487264187842523,0.1906196742033186,0.08354534731963426,0.7258349784770471
9.0,1.9,0.30070417699160923,0.2011458280545979,0.2938838515722859,0.1956580909832315,0.2013406632521727,0.08175009420951085,0.7169092425383164
9.0,2.159,0.322872967443971,0.23055712576848275,0.3166763175530417,0.22532054899472698,0.23074268412564947,0.07609648830881954,0.693160827565531
9.0,2.41,0.3402313052369593,0.25453141511231103,0.33455818789313607,0.24957531817098366,0.25470680433855386,0.07082605962877964,0.6744671360326665
9.0,2.5,0.3456815224576639,0.26221651181019057,0.3401784896293326,0.2573628545853187,0.26238821101513166,0.06903015377019706,0.6685816352146713
9.2,1.0,0.21403023323436876,0.0820646051293844,0.20328632006202207,0.07653912665769791,0.08226443867766886,0.10446850435950361,0.8132670569628275
9.2,1.25,0.2630365032027794,0.13284264222799813,0.2533604858601456,0.12652053862145318,0.13306907516936695,0.10516331284120284,0.7617676119894302
9.2,1.475,0.29554922690607244,0.17279638817312915,0.28684841125826177,0.16638668520803046,0.17302484041635302,0.10011978599581395,0.726855373587833
9.2,1.634,0.31379025274059913,0.19719314450059033,0.3057109693826163,0.1908959416534024,0.19741707194575264,0.09552495424264884,0.7070579738115985
9.2,1.7,0.3205414436645939,0.20655813773239917,0.31270406733190903,0.2003317689730486,0.20677937417000958,0.09352357034403647,0.699697055485954
9.2,1.816,0.33125912080461084,0.2217785783914027,0.32381788192415384,0.215696451959001,0.22199443927911333,0.09002858928977364,0.687976971431113
9.2,1.9,0.33829782631617067,0.2320011921673737,0.3311243593582025,0.22603462682004682,0.23221280091210716,0.08752895696345364,0.6802582421244392
9.2,2.159,0.3567906157113586,0.25966323349338616,0.35034693208622036,0.25407620194598124,0.25986104609388727,0.08023518056693713,0.6599037733391756
9.2,2.41,0.3711366560028233,0.2818649926107585,0.365282710078063,0.2766443794437444,0.2820496196878126,0.07390445320710959,0.6440459271050778
9.2,2.5,0.37561952931553644,0.2889253394593616,0.36995367266878987,0.2838313946428873,0.2891054273862115,0.07181485520423325,0.6390797174095553
9.49,1.0,0.3076526623791447,0.13537927797650662,0.2946191643340321,0.12740528226366232,0.13566606094638267,0.1385870568036911,0.7257468822499262
9.49,1.25,0.3438376062628694,0.18914432572930573,0.33288811515702177,0.18114926437288803,0.18942965477671225,0.12618404173951048,0.6843863034837773
9.49,1.475,0.36668193396683435,0.22765805884497448,0.35717330984263196,0.22007139012162158,0.2279277653368441,0.11417198894347824,0.6579002457196776
9.49,1.634,0.37918853369012007,0.2501024591246991,0.37050265336374544,0.24287729497125965,0.2503588459760474,0.10634333613460989,0.6432978178893427
9.49,1.7,0.3837689167426309,0.2585462437823717,0.3753896977601626,0.25147717403982384,0.2587969367286963,0.10326933346576339,0.6379337298055403
9.49,1.816,0.3909915526513379,0.27209242562669633,0.3831012915715244,0.2652945621468915,0.27233327901644255,0.09820774650471176,0.6294589744788457
9.49,1.9,0.39570443480679307,0.2810784640136538,0.38813659996488825,0.2744737009751619,0.28131234345760725,0.09476881073141974,0.623918845810973
9.49,2.159,0.4079823801428698,0.30500070132917656,0.4012660429384093,0.2989562597392118,0.30521445153255167,0.08533471888677235,0.609450829580676
9.49,2.41,0.41741443686689184,0.32384337179275713,0.411362488868119,0.31828237775068935,0.3240398465700939,0.07765498769540224,0.5983051657345039
9.49,2.5,0.42034694593157684,0.32977775022298716,0.4145032089794536,0.3243758605246069,0.32996855366059374,0.07519657464161045,0.5948348716977958
9.5,1.0,0.3111776708937326,0.13756662962338062,0.2980767242704563,0.12950323441664013,0.1378565720320355,0.13973875272142944,0.7224046752465351
9.5,1.25,0.34678609868891763,0.19131685190805858,0.33580037492396864,0.18326453649387509,0.1916041887754737,0.1268592055192107,0.6815366057053156
9.5,1.475,0.3692368357006949,0.2297098662458963,0.3597056286384921,0.22208422512536496,0.22998093415151977,0.11461195800383372,0.6554071078446465
9.5,1.634,0.381519971677833,0.2520521477687494,0.3728172736517035,0.24479673306358385,0.2523095894278764,0.10667796871005597,0.6410124418620676
9.5,1.7,0.3860172592084473,0.2604523723451536,0.37762306003832447,0.2533559768927256,0.26070401752407646,0.10356954603618607,0.6357264364397375
9.5,1.816,0.3931075992370161,0.2739233664884738,0.3852049761401152,0.26710247744624094,0.27416502152295286,0.0984581513821593,0.6273768270948878
9.5,1.9,0.39773336547823845,0.2828561671000078,0.39015470129302454,0.27623097288455856,0.28309075746168355,0.09498961791607596,0.6219196246222405
9.5,2.159,0.4097816607994097,0.3066249192758723,0.4030578824403338,0.3005660036925961,0.306839172434469,0.08548884280264368,0.6076719847628873
9.5,2.41,0.4190348981539269,0.3253360182038506,0.41297756886312065,0.3197643382132008,0.3255328639673335,0.07776764220825316,0.5966994938244133
9.5,2.5,0.42191142592470576,0.3312272265656613,0.41606286035213225,0.32581569121582865,0.3314183647853287,0.07529797030194008,0.5932836649127312
9.9,1.0,0.4631444489205425,0.24468306065230339,0.4483069011873724,0.23307959054322058,0.24509709367430976,0.17955747159089497,0.5753454347347953
9.9,1.25,0.4705004279449384,0.2901132539080129,0.4586036822670626,0.2799486656378235,0.29047417663514674,0.14911929119061473,0.5604065321742385
9.9,1.475,0.4749964146522465,0.319662353922621,0.46490406437023124,0.31064827268216333,0.31998164050049893,0.12877601041610764,0.5512423490833934
9.9,1.634,0.4774188937673145,0.33607927917865243,0.46830061808906687,0.32776357516014476,0.3363734890247706,0.11733081351683305,0.5462956974583963
9.9,1.7,0.4783000450753694,0.3421298627466256,0.46953636751757954,0.33408094543868305,0.34241452250224813,0.11309046388113442,0.5444950136166175
9.9,1.816,0.4796834335208271,0.3517094619650971,0.4714767569975352,0.34409247776147145,0.3519786892444824,0.1063547283193581,0.5416665824361595
9.9,1.9,0.48058234002999956,0.3579845468302909,0.47273777541046313,0.3506564871667067,0.3582434693305232,0.10192869339244792,0.5398278372770289
9.9,2.159,0.4829113507152637,0.37441543923353826,0.4760056068623596,0.36786448182868203,0.3746467075388712,0.09029247913674299,0.5350608133243858
9.9,2.41,0.4846891824575509,0.38711217984845925,0.4785006214077425,0.381180137742682,0.3873214779518275,0.08125919197311526,0.5314193300750573
9.9,2.5,0.4852401156298346,0.39107168309379303,0.4792738893070715,0.38533561669184524,0.39127403311656894,0.07843551598317455,0.5302904509002565
10.0,1.0,0.5029860670304206,0.2771538982249161,0.4880574046191013,0.26475881981643734,0.27759532475346493,0.18654828266136303,0.535856392585172
10.0,1.25,0.5023888616545287,0.31808736538230753,0.4904454098692106,0.3074842410886732,0.3184633942946844,0.152837559631684,0.5286990460736316
10.0,1.475,0.5020242613294488,0.3442640656342205,0.491903475824928,0.33497240056370514,0.3445928921553535,0.1310823768840711,0.5243247309605754
10.0,1.634,0.5018279205835398,0.35868619974377114,0.49268870140236865,0.3501622693986879,0.35898755813793237,0.11904456145027409,0.5219678804117935
