case,mixture_mean,p_ge_4,p_le_1,final_ge4_if_decomp_moves,final_le1_if_decomp_moves
base,2.582,0.2166,0.1873,0.2152,0.224
comp credit +0.8 restored (rev 1),3.382,0.3842,0.1068,0.299,0.1838
comp credit +0.4 on the AR leg only,2.782,0.2545,0.162,0.2341,0.2114
no calendar drag,3.282,0.3613,0.114,0.2876,0.1874
December shutdown realised (adj -1.5),1.782,0.1004,0.3246,0.1571,0.2927
AR from Q3 average only (no exit-rate start),2.747,0.2476,0.1661,0.2307,0.2134
AR from the exit rate only,2.417,0.1878,0.2109,0.2008,0.2358
AR phi 0.8,2.852,0.2685,0.154,0.2412,0.2074
AR phi 0.4,2.312,0.1708,0.2273,0.1923,0.244
AR long run 2.0 (TE FY27 as is),2.532,0.2076,0.1942,0.2107,0.2275
AR long run 3.0,2.732,0.2447,0.1679,0.2293,0.2143
FY26 forecast cut to 4.0 in November,1.748,0.0968,0.3314,0.1553,0.2961
FY26 forecast raised to 4.8,3.415,0.3919,0.1046,0.3028,0.1827
"Q3 prints 6.5 (Sep holds +6), FY held",2.409,0.1865,0.2121,0.2002,0.2364
Q3 prints 4.5 (Sep fades to +2),2.784,0.2549,0.1617,0.2344,0.2112
audit's centre 3.0,3.0,0.2993,0.1385,0.2566,0.1996
"joint bull (Q3 6.5, FY 4.8, no drag, phi .8, lr 3)",4.417,0.6203,0.0655,0.4171,0.1631
"joint bear (Q3 4.5, FY 4.0, shutdown)",1.151,0.048,0.4644,0.1309,0.3626
trend sd 1.2,2.582,0.1429,0.1166,0.1784,0.1887
trend sd 2.2,2.582,0.2644,0.2428,0.2391,0.2518
shock weight 0.05,2.582,0.2089,0.1813,0.2114,0.221
shock weight 0.20,2.582,0.2344,0.2021,0.2241,0.2314
shock centre 0.0,2.582,0.2289,0.1933,0.2213,0.227
