date,usd,close,shares_m_est,short_interest_shares,shares_out_m,si_pct_est,si_pct_shares,si_pct_used
2021-09-30,2465925000.0,167.75,14.7,,640.0,2.296875,,2.296875
2021-10-15,2639208000.0,169.18,15.6,,640.0,2.4375,,2.4375
2021-10-29,2493342600.0,170.66,14.61,,640.0,2.2828125,,2.2828125
2021-11-15,3126798900.0,207.21,15.09,,640.0,2.3578124999999996,,2.3578124999999996
2021-11-30,2029070400.0,172.54,11.76,,640.0,1.8375,,1.8375
2021-12-15,2110157000.0,168.14,12.550000000000002,,640.0,1.9609375000000004,,1.9609375000000004
2021-12-31,1879672100.0,166.49,11.29,,640.0,1.7640625,,1.7640625
2022-01-15,2125310400.0,163.99,12.96,,640.0,2.025,,2.025
2022-01-31,2320327900.0,153.97,15.07,,640.0,2.3546875000000003,,2.3546875000000003
2022-02-15,2353514900.0,180.07,13.07,,640.0,2.0421875,,2.0421875
2022-02-28,1910288900.0,151.49,12.61,,640.0,1.9703125,,1.9703125
2022-03-15,1723081500.0,143.95,11.970000000000002,,640.0,1.8703125000000005,,1.8703125000000005
2022-03-31,1937452800.0,171.76,11.28,,640.0,1.7624999999999997,,1.7624999999999997
2022-04-15,1799178000.0,170.7,10.54,,640.0,1.6468749999999996,,1.6468749999999996
2022-04-30,1447834500.0,153.21,9.45,,640.0,1.4765625,,1.4765625
2022-05-15,1289799000.0,121.45,10.62,,640.0,1.6593749999999998,,1.6593749999999998
2022-05-31,1613614500.0,120.87,13.35,,640.0,2.0859375,,2.0859375
2022-06-15,1537270500.0,101.47,15.15,,640.0,2.3671875,,2.3671875
2022-06-30,1725479600.0,89.08,19.37,,640.0,3.0265625000000003,,3.0265625000000003
2022-07-15,2123223800.0,94.66,22.43,,640.0,3.5046874999999997,,3.5046874999999997
2022-07-31,2137474800.0,110.98,19.26,,640.0,3.0093750000000004,,3.0093750000000004
2022-08-15,2252334800.0,126.04,17.87,,640.0,2.7921875000000003,,2.7921875000000003
2022-08-31,1871004800.0,113.12,16.54,,640.0,2.5843749999999996,,2.5843749999999996
2022-09-15,2288232000.0,125.04,18.3,,640.0,2.859375,,2.859375
2022-09-30,2012566400.0,105.04,19.16,,640.0,2.99375,,2.99375
2022-10-15,1993261600.0,109.16,18.26,,640.0,2.853125,,2.853125
2022-10-31,1818539100.0,106.91,17.01,,640.0,2.6578125,,2.6578125
2022-11-15,1793487600.0,107.01,16.76,,640.0,2.6187500000000004,,2.6187500000000004
2022-11-30,1951895400.0,102.14,19.11,,640.0,2.9859375,,2.9859375
2022-12-15,1938147900.0,90.61,21.39,,640.0,3.3421875000000005,,3.3421875000000005
2022-12-30,1802340000.0,85.5,21.08,,640.0,3.2937499999999993,,3.2937499999999993
2023-01-15,2119814400.0,100.37,21.12,,640.0,3.3000000000000003,,3.3000000000000003
2023-01-31,2483308500.0,111.11,22.35,,640.0,3.4921875000000004,,3.4921875000000004
2023-02-15,2786783400.0,137.01,20.34,,640.0,3.1781249999999996,,3.1781249999999996
2023-02-28,2360812000.0,123.28,19.15,19190000.0,636.0,3.0110062893081757,3.017295597484277,3.017295597484277
2023-03-15,1736638200.0,113.58,15.29,15290000.0,636.0,2.4040880503144653,2.4040880503144657,2.4040880503144657
2023-03-31,2027720000.0,124.4,16.3,16300000.0,634.0,2.5709779179810726,2.570977917981073,2.570977917981073
2023-04-15,2142808500.0,114.65,18.69,18690000.0,634.0,2.9479495268138804,2.94794952681388,2.94794952681388
2023-04-30,2510676600.0,119.67,20.98,20980000.0,634.0,3.309148264984227,3.309148264984227,3.309148264984227
2023-05-15,2458327200.0,105.78,23.24,23240000.0,634.0,3.665615141955836,3.665615141955836,3.665615141955836
2023-05-31,2675094900.0,109.77,24.37,24370000.0,634.0,3.8438485804416405,3.843848580441641,3.843848580441641
2023-06-15,3247390000.0,127.85,25.4,25400000.0,634.0,4.006309148264984,4.006309148264984,4.006309148264984
2023-06-30,3291148800.0,128.16,25.68,25680000.0,635.0,4.044094488188977,4.044094488188977,4.044094488188977
2023-07-15,3652303200.0,143.34,25.48,25480000.0,635.0,4.012598425196851,4.012598425196851,4.012598425196851
2023-07-31,3638862900.0,152.19,23.91,23910000.0,635.0,3.7653543307086617,3.765354330708661,3.765354330708661
2023-08-15,2686596500.0,129.85,20.69,20690000.0,635.0,3.2582677165354332,3.258267716535433,3.258267716535433
2023-08-31,2591535000.0,131.55,19.7,19700000.0,635.0,3.1023622047244093,3.1023622047244093,3.1023622047244093
2023-09-15,3660110000.0,142.75,25.64,25640000.0,635.0,4.037795275590551,4.037795275590551,4.037795275590551
2023-09-30,4774908000.0,137.21,34.8,34800000.0,640.0,5.437499999999999,5.4375,5.4375
2023-10-15,3736048800.0,124.08,30.11,30110000.0,640.0,4.7046875,4.7046875,4.7046875
2023-10-31,3449336400.0,118.29,29.16,29160000.0,640.0,4.5562499999999995,4.55625,4.55625
2023-11-15,3212600500.0,128.35,25.03,25030000.0,640.0,3.9109375,3.9109375,3.9109375
2023-11-30,2966463200.0,126.34,23.48,23480000.0,640.0,3.6687499999999997,3.66875,3.66875
2023-12-15,3154832000.0,146.6,21.52,21520000.0,640.0,3.3625000000000003,3.3625000000000003,3.3625000000000003
2023-12-31,2612526600.0,136.14,19.190000000000005,19190000.0,639.0,3.003129890453835,3.003129890453834,3.003129890453834
2024-01-15,2467148600.0,137.14,17.99,17990000.0,639.0,2.815336463223787,2.815336463223787,2.815336463223787
2024-01-31,2693976600.0,144.14,18.69,18690000.0,639.0,2.9248826291079815,2.924882629107981,2.924882629107981
2024-02-15,3016609700.0,157.69,19.13,19130000.0,639.0,2.9937402190923317,2.993740219092332,2.993740219092332
2024-02-29,3097434900.0,157.47,19.67,19670000.0,639.0,3.078247261345853,3.0782472613458527,3.0782472613458527
2024-03-15,3154969600.0,160.64,19.64,19640000.0,639.0,3.0735524256651017,3.0735524256651017,3.0735524256651017
2024-03-31,2969280000.0,164.96,18.0,18000000.0,638.0,2.8213166144200628,2.8213166144200628,2.8213166144200628
2024-04-15,2593852000.0,155.6,16.67,16670000.0,638.0,2.6128526645768027,2.6128526645768027,2.6128526645768027
2024-04-30,2440392300.0,158.57,15.39,15390000.0,638.0,2.4122257053291536,2.4122257053291536,2.4122257053291536
2024-05-15,1950804000.0,145.8,13.379999999999999,13380000.0,638.0,2.0971786833855797,2.09717868338558,2.09717868338558
2024-05-31,1859451900.0,144.93,12.83,12830000.0,638.0,2.0109717868338555,2.0109717868338555,2.0109717868338555
2024-06-15,1839222000.0,145.97,12.6,12600000.0,638.0,1.974921630094044,1.974921630094044,1.974921630094044
2024-06-30,1872630500.0,151.63,12.35,12350000.0,635.0,1.9448818897637794,1.9448818897637796,1.9448818897637796
2024-07-15,1638558600.0,147.22,11.13,11130000.0,635.0,1.7527559055118114,1.752755905511811,1.752755905511811
2024-07-31,1543533600.0,139.56,11.06,11060000.0,635.0,1.7417322834645672,1.7417322834645672,1.7417322834645672
2024-08-15,1579915200.0,118.88,13.29,13290000.0,635.0,2.0929133858267717,2.092913385826772,2.092913385826772
2024-08-31,1553184400.0,117.31,13.24,13240000.0,635.0,2.08503937007874,2.08503937007874,2.08503937007874
2024-09-15,1685002500.0,117.75,14.31,14310000.0,635.0,2.2535433070866144,2.2535433070866144,2.2535433070866144
2024-09-30,1749978000.0,126.81,13.8,13800000.0,631.0,2.1870047543581617,2.1870047543581617,2.1870047543581617
2024-10-15,1835127900.0,133.27,13.769999999999998,13770000.0,631.0,2.182250396196513,2.1822503961965136,2.1822503961965136
2024-10-31,1992196200.0,134.79,14.78,14780000.0,631.0,2.3423137876386684,2.342313787638669,2.342313787638669
2024-11-15,1767550000.0,132.5,13.34,13340000.0,631.0,2.114104595879556,2.114104595879556,2.114104595879556
2024-11-30,1917789900.0,136.11,14.089999999999998,14090000.0,631.0,2.2329635499207603,2.2329635499207607,2.2329635499207607
2024-12-15,1985202000.0,130.95,15.160000000000002,15160000.0,631.0,2.4025356576862125,2.4025356576862125,2.4025356576862125
2024-12-31,1887047600.0,131.41,14.36,14360000.0,624.0,2.301282051282051,2.301282051282051,2.301282051282051
2025-01-15,2054060000.0,132.52,15.499999999999998,15500000.0,624.0,2.483974358974359,2.483974358974359,2.483974358974359
2025-01-31,2010836100.0,131.17,15.330000000000002,15330000.0,624.0,2.456730769230769,2.456730769230769,2.456730769230769
2025-02-15,2477797000.0,161.42,15.350000000000001,15350000.0,624.0,2.459935897435898,2.4599358974358974,2.4599358974358974
2025-02-28,1996950600.0,138.87,14.38,14380000.0,624.0,2.3044871794871793,2.3044871794871797,2.3044871794871797
2025-03-15,1847814400.0,122.86,15.04,15040000.0,624.0,2.41025641025641,2.41025641025641,2.41025641025641
2025-03-31,1914943800.0,119.46,16.03,16030000.0,621.0,2.5813204508856686,2.581320450885668,2.581320450885668
2025-04-15,1849143200.0,114.64,16.13,16130000.0,621.0,2.5974235104669887,2.5974235104669887,2.5974235104669887
2025-04-30,1821484800.0,121.92,14.94,14940000.0,621.0,2.4057971014492754,2.4057971014492754,2.4057971014492754
2025-05-15,2132556100.0,136.79,15.59,15590000.0,621.0,2.5104669887278583,2.5104669887278583,2.5104669887278583
2025-05-31,2061611700.0,129.0,15.981486046511627,16090000.0,621.0,2.5735082200501815,2.5909822866344605,2.5909822866344605
2025-06-15,2527821000.0,135.54,18.65,18650000.0,621.0,3.0032206119162637,3.003220611916264,3.003220611916264
2025-06-30,2660034000.0,132.34,20.1,20100000.0,615.0,3.2682926829268295,3.268292682926829,3.268292682926829
2025-07-15,2699395800.0,136.54,19.77,19770000.0,615.0,3.2146341463414636,3.214634146341464,3.214634146341464
2025-07-31,2513141800.0,132.41,18.98,18980000.0,615.0,3.086178861788618,3.0861788617886177,3.0861788617886177
2025-08-15,2434446000.0,125.1,19.46,19460000.0,615.0,3.164227642276423,3.164227642276423,3.164227642276423
2025-08-31,2446132200.0,130.53,18.74,18740000.0,615.0,3.047154471544715,3.047154471544716,3.047154471544716
2025-09-15,2610825300.0,120.37,21.69,21689966.0,615.0,3.5268292682926834,3.526823739837398,3.526823739837398
2025-09-30,2570461400.0,121.42,21.17,21167430.0,611.0,3.4648117839607204,3.46439116202946,3.46439116202946
2025-10-15,2390762400.0,124.26,19.24,19242337.0,611.0,3.1489361702127656,3.1493186579378065,3.1493186579378065
2026-06-30,2130723225.0,143.1,14.88975,14889750.0,592.0,2.515160472972973,2.515160472972973,2.515160472972973
