file,market,snapshot,sha256,compressed_bytes,raw_rows,raw_listings,used_rows,used_listings,stay_date_min,stay_date_max,source_url,region
austin_2024-05-19_calendar.csv.gz,austin,2024-05-19,2fc09bf10244caa757b391b18097c112b8b086c1e06f96e39d6d693d47f7973d,13749635,5547825,15201,5547825,15201,2024-05-19,2025-05-19,,na
austin_2024-06-17_calendar.csv.gz,austin,2024-06-17,f81abd06560dd53989c6d1c5106d8db0d5aee8a2bbb7b53111385b6ecbf02a7b,13702899,5525743,15156,5525743,15156,2024-06-17,2025-06-21,,na
austin_2024-07-21_calendar.csv.gz,austin,2024-07-21,b769d30c6e6f86c793ba926ea4f26cdadf96e5139563325c4b1eb6446f9283b8,13763962,5545425,15194,5545425,15194,2024-07-21,2025-07-22,,na
austin_2024-08-14_calendar.csv.gz,austin,2024-08-14,bfc04568e59b5ea72b4646e0de956299605e25b66424111a7437b9af2f9170ff,13750886,5533835,15162,5533835,15162,2024-08-15,2025-08-15,,na
austin_2024-09-13_calendar.csv.gz,austin,2024-09-13,5877a149ce47c6996ad0e71df0ecb0f2022c3a7ae952ee7ac35a174c2431f4f8,14275534,5563879,15244,5563879,15244,2024-09-13,2025-09-13,,na
austin_2024-10-14_calendar.csv.gz,austin,2024-10-14,fb729755adccac0055c89121f92c6062866a47b8233869ca1a07a9726e69efa6,14644692,5682020,15568,5682020,15568,2024-10-14,2025-10-14,,na
austin_2024-11-14_calendar.csv.gz,austin,2024-11-14,8b1117e6f4980dd1b0bb929ee4351cd90668601f0db5e6117fc70f19c4ab88be,14199423,5629394,15424,5629394,15424,2024-11-14,2025-11-27,,na
austin_2024-12-14_calendar.csv.gz,austin,2024-12-14,225b81c358936d1695c737a29fa903ec033abc91d69187d72b94f93d74ad750d,14775701,5654056,15491,5654056,15491,2024-12-14,2025-12-14,,na
austin_2025-01-16_calendar.csv.gz,austin,2025-01-16,b2bf17ad3e8de23ce648d0aa69be146a658bac61242c946617815f4983f3e944,14816452,5627680,15419,5627680,15419,2025-01-16,2026-01-28,,na
austin_2025-02-16_calendar.csv.gz,austin,2025-02-16,edd0c64256c020f81c7ca1a8a58eb32348c837d4b4b9b39149092204f2ab10c9,14195507,5617317,15391,5617317,15391,2025-02-16,2026-02-16,,na
austin_2025-03-06_calendar.csv.gz,austin,2025-03-06,7bacb29a70d19b2aec2d4697e0119fb659656c750fc0a6b10ce1dee161df0201,14054867,5635043,15422,5635043,15422,2025-03-06,2026-03-14,,na
austin_2025-04-12_calendar.csv.gz,austin,2025-04-12,4e3fa96a0bf78abc1213c747210b88a4a098dfdf05932a7f21460559b22cee7e,14285340,5585767,15304,5585767,15304,2025-04-12,2026-04-13,,na
austin_2025-05-11_calendar.csv.gz,austin,2025-05-11,1735b0c098f03eef41722cd212dfeaa6bf7925b5e1ea14edced66ca9ff7052c3,13865553,5572629,15268,5572629,15268,2025-05-11,2026-05-28,,na
austin_2025-07-11_calendar.csv.gz,austin,2025-07-11,10bd1f04db59ae660178f68679d1b93c45c04aa79931ca35eaffdb75f6ebe958,13341612,5526166,15140,5526166,15140,2025-07-11,2026-07-11,,na
austin_2025-08-16_calendar.csv.gz,austin,2025-08-16,fe7b46e0fdc33a81006f943238c19039e342197670272edcf819bf181587b733,13003041,5507122,15088,5507122,15088,2025-08-16,2026-08-16,,na
austin_2025-09-16_calendar.csv.gz,austin,2025-09-16,174641cd4f29550ebfb488845391294f2272f484919c8c2e7cf90c0d86510f9d,9347879,3844547,10533,3844547,10533,2025-09-16,2026-09-16,https://data.insideairbnb.com/united-states/tx/austin/2025-09-16/data/calendar.csv.gz,na
austin_2025-12-22_calendar.csv.gz,austin,2025-12-22,43bf4ff8bda407ac086911261ca1142f77ed00a8c1305c1e0d2aa35b39db53d6,10240707,4106615,11251,4106615,11251,2025-12-24,2027-01-04,https://data.insideairbnb.com/united-states/tx/austin/2025-12-22/data/calendar.csv.gz,na
austin_2026-03-25_calendar.csv.gz,austin,2026-03-25,67b0bd7c15d2b73490ea877005c41267cf2bd49e790bb330e8a79066028a46b8,7403950,2982447,8171,2982447,8171,2026-03-25,2027-03-27,https://data.insideairbnb.com/united-states/tx/austin/2026-03-25/data/calendar.csv.gz,na
austin_2026-06-22_calendar.csv.gz,austin,2026-06-22,62892205a61069328de7173b65a6c6de4c8a3b8b56655bfdd31ad8b3001ab47f,10067057,4131800,11320,4131800,11320,2026-06-22,2027-07-01,https://data.insideairbnb.com/united-states/tx/austin/2026-06-22/data/calendar.csv.gz,na
austin_2026-08-25_calendar.csv.gz,austin,2026-08-25,2e142e028258b56e1fc56bcac6071e49632ae7155fe514aaa7870b73309c092b,9923835,4043858,11079,4043858,11079,2026-08-25,2027-08-29,https://data.insideairbnb.com/united-states/tx/austin/2026-08-25/data/calendar.csv.gz,na
bangkok_2025-03-19_calendar.csv.gz,bangkok,2025-03-19,09930feb475a4da3ec61a590cd9143081f3c2012a9b45488dd03d89e8e46c84d,25730226,10054707,27548,10054707,27548,2025-03-19,2026-03-20,,apac
bangkok_2025-04-25_calendar.csv.gz,bangkok,2025-04-25,5c17443dbeb3a91581ae1c5376a810a0967d6c8be3792dafcb8c1d2a036e24c7,25918921,10122521,27726,10122521,27726,2025-04-25,2026-05-02,,apac
