quarter,actual_exfx_pp,component_build_pp,naive_last_q_pp,prior_year_q_pp,ar1_pp,err_component_build,err_naive_last_q,err_prior_year_q,err_ar1,n_obs
2Q24,3.0,1.2642762039749706,2.0,2.0,2.0769230769230766,-1.7357237960250294,-1.0,-1.0,-0.9230769230769234,9
3Q24,2.0,1.528552407949941,3.0,0.5,2.7621082621082618,-0.47144759205005893,1.0,-1.5,0.7621082621082618,9
4Q24,2.0,1.917828611924912,2.0,0.5,2.0769230769230766,-0.08217138807508806,0.0,-1.5,0.07692307692307665,9
1Q25,1.0,2.2500000000000004,2.0,2.0,2.0769230769230766,1.2500000000000004,1.0,1.0,1.0769230769230766,9
2Q25,1.0,2.044568447384313,1.0,3.0,1.3917378917378918,1.044568447384313,0.0,2.0,0.39173789173789175,9
3Q25,2.0,1.5891368947686255,1.0,2.0,1.3917378917378918,-0.4108631052313745,-1.0,0.0,-0.6082621082621082,9
4Q25,3.0,1.6337053421529386,2.0,2.0,2.0769230769230766,-1.3662946578470614,-1.0,-1.0,-0.9230769230769234,9
1Q26,4.0,1.7500000000000002,3.0,1.0,2.7621082621082618,-2.25,-1.0,-3.0,-1.2378917378917382,9
2Q26,4.0,2.5744282273428656,4.0,1.0,3.447293447293447,-1.4255717726571344,0.0,-3.0,-0.5527065527065531,9

