target,driver,window,n,slope,intercept,r,p,spearman,perm_p,loo_rmse,naive_rmse,loo_mean_rmse,beats_naive,beats_loo_mean,note
bea_us_inbound_spend_yoy,ipp_xb_na_lag0,ex_reopening_2019_plus_from_1Q24,10,-1.3784,3.5032,-0.4858,0.1546,-0.6121,0.1359,10.3202,5.1334,10.8333,False,True,
bea_us_inbound_spend_yoy__qoq_diff,ipp_xb_na_qoq_diff,ex_reopening_2019_plus_from_1Q24,9,0.1063,-2.5566,0.066,0.866,0.1,0.8641,6.1634,3.8934,5.0271,False,False,
bea_us_inbound_spend_yoy,ipp_xb_na_lag0,from_1Q24,10,-1.3784,3.5032,-0.4858,0.1546,-0.6121,0.1548,10.3202,5.1334,10.8333,False,True,
bea_us_inbound_spend_yoy__qoq_diff,ipp_xb_na_qoq_diff,from_1Q24,9,0.1063,-2.5566,0.066,0.866,0.1,0.8531,6.1634,3.8934,5.0271,False,False,
bea_us_inbound_spend_yoy,ipp_xb_na_lag0,post22,18,-11.8844,39.2457,-0.69,0.0015,-0.6491,0.002,60.7067,28.078,78.9885,False,True,
bea_us_inbound_spend_yoy__qoq_diff,ipp_xb_na_qoq_diff,post22,17,-2.7722,-11.34,-0.3182,0.2132,-0.3358,0.2298,26.7053,32.9565,26.7672,True,True,
bea_us_inbound_spend_yoy,ipp_xb_na_lag0,full,22,-6.2043,70.3123,-0.2558,0.2505,-0.3732,0.2498,113.9512,91.3282,109.5884,False,False,
bea_us_inbound_spend_yoy__qoq_diff,ipp_xb_na_qoq_diff,full,21,7.4446,3.4186,0.2541,0.2663,-0.0935,0.2847,100.8435,114.7388,95.8204,True,False,
bea_us_inbound_spend_yoy,ipp_xb_na_lag1,ex_reopening_2019_plus_from_1Q24,10,0.0265,2.5263,0.0094,0.9795,-0.0545,0.977,11.6885,5.1334,10.8333,False,False,
bea_us_inbound_spend_yoy,ipp_xb_na_lag1,from_1Q24,10,0.0265,2.5263,0.0094,0.9795,-0.0545,0.981,11.6885,5.1334,10.8333,False,False,
bea_us_inbound_spend_yoy,ipp_xb_na_lag1,post22,18,-8.7305,39.2341,-0.496,0.0363,-0.5418,0.037,70.8906,28.078,78.9885,False,True,
bea_us_inbound_spend_yoy,ipp_xb_na_lag1,full,22,-0.9019,71.7011,-0.0367,0.8714,-0.1327,0.8751,114.1309,91.3282,109.5884,False,False,
bea_us_inbound_spend_yoy,ipp_xb_na_lag2,ex_reopening_2019_plus_from_1Q24,10,1.6723,1.8105,0.5198,0.1236,0.503,0.1419,10.3683,5.1334,10.8333,False,True,
bea_us_inbound_spend_yoy,ipp_xb_na_lag2,from_1Q24,10,1.6723,1.8105,0.5198,0.1236,0.503,0.1189,10.3683,5.1334,10.8333,False,True,
bea_us_inbound_spend_yoy,ipp_xb_na_lag2,post22,18,-3.4104,44.3721,-0.1759,0.4851,-0.2776,0.4985,80.0092,28.078,78.9885,False,False,
bea_us_inbound_spend_yoy,ipp_xb_na_lag2,full,22,4.2312,75.7293,0.1597,0.4777,0.0446,0.4855,112.2799,91.3282,109.5884,False,False,
bea_us_inbound_spend_yoy,ipp_na_lag0,ex_reopening_2019_plus_from_1Q24,10,-9.8025,3.2007,-0.4566,0.1846,-0.5273,0.1768,10.5196,5.1334,10.8333,False,True,
bea_us_inbound_spend_yoy__qoq_diff,ipp_na_qoq_diff,ex_reopening_2019_plus_from_1Q24,9,0.954,-2.5584,0.082,0.8339,0.1,0.8412,6.2016,3.8934,5.0271,False,False,
bea_us_inbound_spend_yoy,ipp_na_lag0,from_1Q24,10,-9.8025,3.2007,-0.4566,0.1846,-0.5273,0.1888,10.5196,5.1334,10.8333,False,True,
bea_us_inbound_spend_yoy__qoq_diff,ipp_na_qoq_diff,from_1Q24,9,0.954,-2.5584,0.082,0.8339,0.1,0.8342,6.2016,3.8934,5.0271,False,False,
bea_us_inbound_spend_yoy,ipp_na_lag0,post22,18,-89.4687,36.8045,-0.6685,0.0024,-0.6326,0.001,62.4034,28.078,78.9885,False,True,
bea_us_inbound_spend_yoy__qoq_diff,ipp_na_qoq_diff,post22,17,-16.853,-11.624,-0.2539,0.3254,-0.25,0.3606,26.8099,32.9565,26.7672,True,False,
bea_us_inbound_spend_yoy,ipp_na_lag0,full,22,-34.1451,70.5916,-0.1875,0.4035,-0.3292,0.3996,117.6697,91.3282,109.5884,False,False,
bea_us_inbound_spend_yoy__qoq_diff,ipp_na_qoq_diff,full,21,65.9501,3.7384,0.3014,0.1842,-0.0195,0.1928,100.7983,114.7388,95.8204,True,False,
bea_us_inbound_spend_yoy,ipp_na_lag1,ex_reopening_2019_plus_from_1Q24,10,0.5008,2.5111,0.0234,0.9489,0.0424,0.95,11.6721,5.1334,10.8333,False,False,
bea_us_inbound_spend_yoy,ipp_na_lag1,from_1Q24,10,0.5008,2.5111,0.0234,0.9489,0.0424,0.952,11.6721,5.1334,10.8333,False,False,
bea_us_inbound_spend_yoy,ipp_na_lag1,post22,18,-62.1825,38.5176,-0.4534,0.0588,-0.5046,0.0539,72.4554,28.078,78.9885,False,True,
bea_us_inbound_spend_yoy,ipp_na_lag1,full,22,7.0107,72.5262,0.038,0.8666,-0.0785,0.8891,114.8846,91.3282,109.5884,False,False,
bea_us_inbound_spend_yoy,ipp_na_lag2,ex_reopening_2019_plus_from_1Q24,10,12.9409,2.2477,0.513,0.1294,0.5758,0.1359,10.3258,5.1334,10.8333,False,True,
bea_us_inbound_spend_yoy,ipp_na_lag2,from_1Q24,10,12.9409,2.2477,0.513,0.1294,0.5758,0.1179,10.3258,5.1334,10.8333,False,True,
bea_us_inbound_spend_yoy,ipp_na_lag2,post22,18,-15.1157,46.127,-0.1,0.6929,-0.2157,0.7193,81.4202,28.078,78.9885,False,False,
bea_us_inbound_spend_yoy,ipp_na_lag2,full,22,47.3139,77.5818,0.2386,0.2849,0.1214,0.3017,110.5996,91.3282,109.5884,False,False,
bea_us_outbound_spend_yoy,oa_xb_na_lag0,ex_reopening_2019_plus_from_1Q24,10,1.1012,8.4678,0.7521,0.0121,0.7091,0.022,5.2042,3.4206,7.0428,False,True,
bea_us_outbound_spend_yoy__qoq_diff,oa_xb_na_qoq_diff,ex_reopening_2019_plus_from_1Q24,9,0.1679,-2.0466,0.2001,0.6057,0.05,0.6004,3.3048,4.5348,3.0453,True,False,
bea_us_outbound_spend_yoy,oa_xb_na_lag0,from_1Q24,10,1.1012,8.4678,0.7521,0.0121,0.7091,0.008,5.2042,3.4206,7.0428,False,True,
bea_us_outbound_spend_yoy__qoq_diff,oa_xb_na_qoq_diff,from_1Q24,9,0.1679,-2.0466,0.2001,0.6057,0.05,0.6034,3.3048,4.5348,3.0453,True,False,
bea_us_outbound_spend_yoy,oa_xb_na_lag0,post22,18,7.2922,45.1261,0.5808,0.0115,0.5913,0.007,56.3666,24.439,66.0634,False,True,
bea_us_outbound_spend_yoy__qoq_diff,oa_xb_na_qoq_diff,post22,17,-0.3757,-12.3966,-0.0595,0.8206,0.1618,0.8422,24.4885,28.2123,22.4834,True,False,
bea_us_outbound_spend_yoy,oa_xb_na_lag0,full,22,1.4126,83.8442,0.0512,0.8209,0.3043,0.8292,144.269,119.8628,138.4383,False,False,
bea_us_outbound_spend_yoy__qoq_diff,oa_xb_na_qoq_diff,full,21,-12.7695,1.296,-0.3825,0.087,-0.0273,0.0729,129.3212,130.992,125.8124,True,False,
bea_us_outbound_spend_yoy,oa_xb_na_lag1,ex_reopening_2019_plus_from_1Q24,10,0.8466,8.2059,0.5815,0.0779,0.4303,0.0709,6.6066,3.4206,7.0428,False,True,
bea_us_outbound_spend_yoy,oa_xb_na_lag1,from_1Q24,10,0.8466,8.2059,0.5815,0.0779,0.4303,0.0919,6.6066,3.4206,7.0428,False,True,
bea_us_outbound_spend_yoy,oa_xb_na_lag1,post22,18,6.3637,42.6873,0.4969,0.0359,0.5686,0.035,58.7079,24.439,66.0634,False,True,
bea_us_outbound_spend_yoy,oa_xb_na_lag1,full,22,-2.6136,83.4864,-0.0932,0.6798,0.1925,0.6713,146.1046,119.8628,138.4383,False,False,
bea_us_outbound_spend_yoy,oa_xb_na_lag2,ex_reopening_2019_plus_from_1Q24,10,0.1517,7.3736,0.0979,0.7878,-0.0909,0.7932,8.0326,3.4206,7.0428,False,False,
bea_us_outbound_spend_yoy,oa_xb_na_lag2,from_1Q24,10,0.1517,7.3736,0.0979,0.7878,-0.0909,0.7772,8.0326,3.4206,7.0428,False,False,
bea_us_outbound_spend_yoy,oa_xb_na_lag2,post22,18,3.5054,42.9068,0.2481,0.3208,0.3643,0.3167,65.7436,24.439,66.0634,False,True,
bea_us_outbound_spend_yoy,oa_xb_na_lag2,full,22,-1.9592,84.5477,-0.0649,0.774,0.0344,0.7822,141.398,119.8628,138.4383,False,False,
bea_us_outbound_spend_yoy,oa_na_lag0,ex_reopening_2019_plus_from_1Q24,10,4.9766,8.593,0.756,0.0114,0.7091,0.014,5.1557,3.4206,7.0428,False,True,
bea_us_outbound_spend_yoy__qoq_diff,oa_na_qoq_diff,ex_reopening_2019_plus_from_1Q24,9,0.7573,-2.0444,0.1967,0.612,0.05,0.5934,3.2958,4.5348,3.0453,True,False,
bea_us_outbound_spend_yoy,oa_na_lag0,from_1Q24,10,4.9766,8.593,0.756,0.0114,0.7091,0.009,5.1557,3.4206,7.0428,False,True,
bea_us_outbound_spend_yoy__qoq_diff,oa_na_qoq_diff,from_1Q24,9,0.7573,-2.0444,0.1967,0.612,0.05,0.6084,3.2958,4.5348,3.0453,True,False,
bea_us_outbound_spend_yoy,oa_na_lag0,post22,18,32.5962,46.185,0.5838,0.011,0.5789,0.005,56.2917,24.439,66.0634,False,True,
bea_us_outbound_spend_yoy__qoq_diff,oa_na_qoq_diff,post22,17,-1.8131,-12.4158,-0.0643,0.8063,0.1569,0.8272,24.5913,28.2123,22.4834,True,False,
bea_us_outbound_spend_yoy,oa_na_lag0,full,22,10.1919,84.1809,0.0823,0.7158,0.3281,0.7383,143.0565,119.8628,138.4383,False,False,
bea_us_outbound_spend_yoy__qoq_diff,oa_na_qoq_diff,full,21,-56.6298,1.0044,-0.3761,0.0929,-0.0299,0.0759,128.9199,130.992,125.8124,True,False,
bea_us_outbound_spend_yoy,oa_na_lag1,ex_reopening_2019_plus_from_1Q24,10,3.8067,8.2998,0.582,0.0775,0.4303,0.0769,6.6014,3.4206,7.0428,False,True,
bea_us_outbound_spend_yoy,oa_na_lag1,from_1Q24,10,3.8067,8.2998,0.582,0.0775,0.4303,0.0939,6.6014,3.4206,7.0428,False,True,
bea_us_outbound_spend_yoy,oa_na_lag1,post22,18,29.1437,43.3914,0.5132,0.0294,0.5604,0.029,58.2482,24.439,66.0634,False,True,
bea_us_outbound_spend_yoy,oa_na_lag1,full,22,-6.5913,83.4284,-0.0523,0.817,0.2208,0.8332,145.3482,119.8628,138.4383,False,False,
bea_us_outbound_spend_yoy,oa_na_lag2,ex_reopening_2019_plus_from_1Q24,10,0.6529,7.3895,0.0953,0.7933,-0.0909,0.8142,8.0571,3.4206,7.0428,False,False,
bea_us_outbound_spend_yoy,oa_na_lag2,from_1Q24,10,0.6529,7.3895,0.0953,0.7933,-0.0909,0.7962,8.0571,3.4206,7.0428,False,False,
bea_us_outbound_spend_yoy,oa_na_lag2,post22,18,17.5809,42.9534,0.2814,0.258,0.387,0.2448,64.9357,24.439,66.0634,False,True,
bea_us_outbound_spend_yoy,oa_na_lag2,full,22,-3.4063,83.8615,-0.0252,0.9115,0.057,0.9071,141.3647,119.8628,138.4383,False,False,
bea_inbound_minus_outbound_pp,ipp_xb_na_lag0,ex_reopening_2019_plus_from_1Q24,10,0.0552,-4.7164,0.0265,0.942,-0.0303,0.9381,8.5275,5.0766,7.9477,False,False,
bea_inbound_minus_outbound_pp__qoq_diff,ipp_xb_na_qoq_diff,ex_reopening_2019_plus_from_1Q24,9,0.2774,-0.5136,0.1523,0.6957,0.3333,0.6903,6.8566,4.2583,5.6901,False,False,
bea_inbound_minus_outbound_pp,ipp_xb_na_lag0,from_1Q24,10,0.0552,-4.7164,0.0265,0.942,-0.0303,0.95,8.5275,5.0766,7.9477,False,False,
bea_inbound_minus_outbound_pp__qoq_diff,ipp_xb_na_qoq_diff,from_1Q24,9,0.2774,-0.5136,0.1523,0.6957,0.3333,0.6573,6.8566,4.2583,5.6901,False,False,
bea_inbound_minus_outbound_pp,ipp_xb_na_lag0,post22,18,-2.7155,1.0202,-0.5025,0.0336,-0.2632,0.023,25.9917,29.6199,24.7854,True,False,
bea_inbound_minus_outbound_pp__qoq_diff,ipp_xb_na_qoq_diff,post22,17,-3.3547,1.1087,-0.3275,0.1994,-0.174,0.2198,31.8146,49.1178,31.4707,True,False,
bea_inbound_minus_outbound_pp,ipp_xb_na_lag0,full,22,-5.2664,-12.8839,-0.3855,0.0764,-0.3552,0.0649,59.1324,76.9613,61.7314,True,True,
bea_inbound_minus_outbound_pp__qoq_diff,ipp_xb_na_qoq_diff,full,21,-5.8588,0.5758,-0.2372,0.3006,-0.1584,0.3107,87.1067,128.2924,80.8081,True,False,
bea_inbound_minus_outbound_pp,ipp_xb_na_lag1,ex_reopening_2019_plus_from_1Q24,10,1.1989,-5.5244,0.5772,0.0806,0.5515,0.1039,6.7356,5.0766,7.9477,False,True,
bea_inbound_minus_outbound_pp,ipp_xb_na_lag1,from_1Q24,10,1.1989,-5.5244,0.5772,0.0806,0.5515,0.0799,6.7356,5.0766,7.9477,False,True,
bea_inbound_minus_outbound_pp,ipp_xb_na_lag1,post22,18,-1.1421,1.9923,-0.2068,0.4104,0.0506,0.4446,26.3896,29.6199,24.7854,True,False,
bea_inbound_minus_outbound_pp,ipp_xb_na_lag1,full,22,-5.935,-13.9733,-0.4282,0.0468,-0.0898,0.04,62.9344,76.9613,61.7314,True,False,
