date,abnb_close,spy_close,abnb_volume,spy_volume,provider
2021-02-01,180.44,376.23,3877389,75817600,Nasdaq public historical table
2021-02-02,179.17,381.55,4413624,64450660,Nasdaq public historical table
2021-02-03,185.72,381.85,4168965,52427090,Nasdaq public historical table
2021-02-04,195.8,386.19,3637039,47142560,Nasdaq public historical table
2021-02-05,195.31,387.71,2869659,48669770,Nasdaq public historical table
2021-02-08,200.43,390.51,3492593,38365190,Nasdaq public historical table
2021-02-09,199.88,390.25,4725841,35551060,Nasdaq public historical table
2021-02-10,211.66,390.08,5257239,59154370,Nasdaq public historical table
2021-02-11,216.84,390.71,3595183,42913290,Nasdaq public historical table
2021-02-12,212.68,392.64,3041744,50593270,Nasdaq public historical table
2021-02-16,209.86,392.3,3487929,50972370,Nasdaq public historical table
2021-02-17,201.96,392.39,4090619,52806680,Nasdaq public historical table
2021-02-18,198.04,390.72,2791419,59712770,Nasdaq public historical table
2021-02-19,201.07,390.03,2605751,83240970,Nasdaq public historical table
2021-02-22,195.34,387.03,3674223,67414170,Nasdaq public historical table
2021-02-23,187.59,387.5,5902404,107284100,Nasdaq public historical table
2021-02-24,200.2,391.77,5983538,72433950,Nasdaq public historical table
2021-02-25,182.06,382.33,11568490,146670500,Nasdaq public historical table
2021-02-26,206.35,380.36,19368610,152701600,Nasdaq public historical table
2021-03-01,196.42,389.58,15798530,105348800,Nasdaq public historical table
2021-03-02,189.9,386.54,9144947,79595330,Nasdaq public historical table
2021-03-03,180.4,381.42,10592930,119940200,Nasdaq public historical table
2021-03-04,180.23,376.7,9993671,183433000,Nasdaq public historical table
2021-03-05,179.81,383.63,8788544,152039600,Nasdaq public historical table
2021-03-08,180.81,381.72,4988473,123149200,Nasdaq public historical table
2021-03-09,183.11,387.17,6079925,113633600,Nasdaq public historical table
2021-03-10,183.79,389.58,6145645,109899400,Nasdaq public historical table
2021-03-11,197.87,393.53,6031244,86245040,Nasdaq public historical table
2021-03-12,206.74,394.06,5556463,64653570,Nasdaq public historical table
2021-03-15,209.99,396.41,4337470,73592300,Nasdaq public historical table
2021-03-16,200.01,395.91,4605572,73722510,Nasdaq public historical table
2021-03-17,201.36,397.26,3781866,97959270,Nasdaq public historical table
2021-03-18,191.45,391.48,3729507,115349100,Nasdaq public historical table
2021-03-19,194.39,389.48,4444583,113624500,Nasdaq public historical table
2021-03-22,195,392.59,3740448,73778650,Nasdaq public historical table
2021-03-23,187.14,389.5,3460590,90686550,Nasdaq public historical table
2021-03-24,178.85,387.52,3756097,97588640,Nasdaq public historical table
2021-03-25,176.16,389.7,5264100,116128600,Nasdaq public historical table
2021-03-26,174.4,395.98,3562912,114409100,Nasdaq public historical table
2021-03-29,182.5,395.78,4508821,108107600,Nasdaq public historical table
2021-03-30,183.1,394.73,2903262,76262250,Nasdaq public historical table
2021-03-31,187.94,396.33,3079510,112734200,Nasdaq public historical table
2021-04-01,188.24,400.61,2921447,99682880,Nasdaq public historical table
2021-04-05,186.69,406.36,2591425,91684760,Nasdaq public historical table
2021-04-06,190.03,406.12,3565634,62020950,Nasdaq public historical table
2021-04-07,179.94,406.59,6663462,55836280,Nasdaq public historical table
2021-04-08,180.18,408.52,2625274,57863110,Nasdaq public historical table
2021-04-09,179.5,411.49,2910167,61104560,Nasdaq public historical table
2021-04-12,176.49,411.64,2619833,56704900,Nasdaq public historical table
2021-04-13,177.95,412.86,3573584,56550990,Nasdaq public historical table
2021-04-14,176.43,411.45,2938566,61659910,Nasdaq public historical table
2021-04-15,175.35,415.87,2894865,60229840,Nasdaq public historical table
2021-04-16,178.69,417.26,3058294,82037280,Nasdaq public historical table
2021-04-19,174.58,415.21,3125736,78498500,Nasdaq public historical table
2021-04-20,169.57,412.17,4574999,81851830,Nasdaq public historical table
2021-04-21,167.07,416.07,3878608,66792980,Nasdaq public historical table
2021-04-22,170.71,412.27,3856499,97582790,Nasdaq public historical table
2021-04-23,174.25,416.74,3335128,73276200,Nasdaq public historical table
2021-04-26,174.88,417.61,2549403,52182390,Nasdaq public historical table
2021-04-27,177.94,417.52,2882972,51303060,Nasdaq public historical table
2021-04-28,180,417.4,2409708,51238850,Nasdaq public historical table
2021-04-29,177.68,420.06,3116021,78544330,Nasdaq public historical table
2021-04-30,172.71,417.3,3579957,85527030,Nasdaq public historical table
2021-05-03,168.11,418.2,3149738,68128290,Nasdaq public historical table
2021-05-04,168.9,415.62,4658011,101591200,Nasdaq public historical table
2021-05-05,162.33,415.75,3590067,39960660,Nasdaq public historical table
2021-05-06,153.64,419.07,8528976,74321370,Nasdaq public historical table
2021-05-07,151.21,422.12,7133990,67733790,Nasdaq public historical table
2021-05-10,146.73,417.94,5827152,81852450,Nasdaq public historical table
2021-05-11,142.73,414.21,8257386,116888000,Nasdaq public historical table
2021-05-12,140.25,405.41,5307514,134811000,Nasdaq public historical table
2021-05-13,135.75,410.28,13005370,106394000,Nasdaq public historical table
2021-05-14,141.2,416.58,20325380,82201630,Nasdaq public historical table
2021-05-17,132.5,415.52,39715020,64882410,Nasdaq public historical table
2021-05-18,135.02,411.94,18555650,59810240,Nasdaq public historical table
2021-05-19,138.19,410.86,15565540,106467100,Nasdaq public historical table
2021-05-20,136.2,415.28,8903573,78022220,Nasdaq public historical table
2021-05-21,134.71,414.94,10056480,76578660,Nasdaq public historical table
2021-05-24,135.91,419.17,8543614,51376700,Nasdaq public historical table
2021-05-25,133.99,418.24,10435840,57451400,Nasdaq public historical table
2021-05-26,134.75,419.07,8179216,43088620,Nasdaq public historical table
2021-05-27,143.17,419.29,21270190,56707680,Nasdaq public historical table
2021-05-28,140.4,420.04,12000560,58520160,Nasdaq public historical table
2021-06-01,144.31,419.67,16552090,54216630,Nasdaq public historical table
2021-06-02,151,420.33,16245120,49097060,Nasdaq public historical table
2021-06-03,144.19,418.77,11083340,58138760,Nasdaq public historical table
2021-06-04,150.73,422.6,8534867,55938790,Nasdaq public historical table
2021-06-07,148.97,422.19,7780222,51555030,Nasdaq public historical table
2021-06-08,147.01,422.28,7125810,47134280,Nasdaq public historical table
2021-06-09,144.85,421.65,5606457,48436340,Nasdaq public historical table
2021-06-10,146.12,423.61,9482482,51020150,Nasdaq public historical table
2021-06-11,148.44,424.31,4819914,45570830,Nasdaq public historical table
2021-06-14,149.21,425.26,6107480,42358480,Nasdaq public historical table
2021-06-15,151.78,424.48,12007680,51508510,Nasdaq public historical table
2021-06-16,149.15,422.11,9632778,80386080,Nasdaq public historical table
2021-06-17,150.7,421.97,8171295,90949660,Nasdaq public historical table
2021-06-18,152.52,414.92,11628920,118676300,Nasdaq public historical table
2021-06-21,149.7,420.86,8040208,72822030,Nasdaq public historical table
2021-06-22,149.68,423.11,5790390,57700300,Nasdaq public historical table
2021-06-23,151.58,422.6,9335718,49445410,Nasdaq public historical table
2021-06-24,150.73,425.1,8173384,45110290,Nasdaq public historical table
2021-06-25,149.67,426.61,6452449,58129530,Nasdaq public historical table
2021-06-28,149.94,427.47,6450955,53159580,Nasdaq public historical table
2021-06-29,146.08,427.7,7478999,35970520,Nasdaq public historical table
2021-06-30,153.14,428.06,9798633,64827860,Nasdaq public historical table
2021-07-01,153.08,430.43,9793859,53441030,Nasdaq public historical table
2021-07-02,150.23,433.72,4844712,57697670,Nasdaq public historical table
2021-07-06,148.37,432.93,5069422,68710420,Nasdaq public historical table
2021-07-07,143.72,434.46,5650921,63549460,Nasdaq public historical table
2021-07-08,142.53,430.92,4827157,97595230,Nasdaq public historical table
2021-07-09,149.64,435.52,7065139,76238580,Nasdaq public historical table
2021-07-12,146.69,437.08,3276273,52889590,Nasdaq public historical table
2021-07-13,143.41,435.59,5871457,52911310,Nasdaq public historical table
2021-07-14,139.09,436.24,8545476,64130350,Nasdaq public historical table
2021-07-15,137.5,434.75,6576068,55126360,Nasdaq public historical table
2021-07-16,134.31,431.34,6094631,75874660,Nasdaq public historical table
2021-07-19,131.88,424.97,7215671,147987000,Nasdaq public historical table
2021-07-20,136.09,431.06,6274608,99608170,Nasdaq public historical table
2021-07-21,139.25,434.55,5269631,64724390,Nasdaq public historical table
2021-07-22,139.47,435.46,4628360,47878540,Nasdaq public historical table
2021-07-23,138.73,439.94,2811110,63766640,Nasdaq public historical table
2021-07-26,142,441.02,6489516,43719190,Nasdaq public historical table
2021-07-27,141.58,439.01,5113147,67397140,Nasdaq public historical table
2021-07-28,143.3,438.83,4466785,52472360,Nasdaq public historical table
2021-07-29,143.47,440.65,5005450,47435340,Nasdaq public historical table
2021-07-30,144.01,438.51,4167130,68951200,Nasdaq public historical table
2021-08-02,145.49,437.59,4522437,58783300,Nasdaq public historical table
2021-08-03,145.65,441.15,5491010,58053900,Nasdaq public historical table
2021-08-04,147.4,438.98,4631430,46732210,Nasdaq public historical table
2021-08-05,150.32,441.76,4737513,38969660,Nasdaq public historical table
2021-08-06,149.99,442.49,4043474,46930010,Nasdaq public historical table
2021-08-09,149.44,442.13,5541924,41222590,Nasdaq public historical table
2021-08-10,147.95,442.68,5149830,43339280,Nasdaq public historical table
2021-08-11,148.16,443.78,6717728,44034340,Nasdaq public historical table
2021-08-12,151.15,445.11,8925109,38942420,Nasdaq public historical table
2021-08-13,152.76,445.92,16789080,39470250,Nasdaq public historical table
2021-08-16,148.57,446.97,7720442,73930860,Nasdaq public historical table
2021-08-17,143.9,444.04,7855110,92673930,Nasdaq public historical table
2021-08-18,146.74,439.18,5190073,89351930,Nasdaq public historical table
2021-08-19,142.65,439.86,4732393,92812250,Nasdaq public historical table
2021-08-20,143.7,443.36,2996182,72008710,Nasdaq public historical table
2021-08-23,146.79,447.26,4727431,54973040,Nasdaq public historical table
2021-08-24,161.42,447.97,22096780,38744710,Nasdaq public historical table
2021-08-25,160.35,448.91,7267704,40529710,Nasdaq public historical table
2021-08-26,152.73,446.26,7242951,57829570,Nasdaq public historical table
2021-08-27,154.18,450.25,4818820,77235110,Nasdaq public historical table
2021-08-30,156.02,452.23,3968745,48357360,Nasdaq public historical table
2021-08-31,154.99,451.56,7403951,59300210,Nasdaq public historical table
2021-09-01,156.59,451.8,4324746,48721380,Nasdaq public historical table
2021-09-02,157.2,453.19,3302257,42830870,Nasdaq public historical table
2021-09-03,158,453.08,4460935,47234360,Nasdaq public historical table
2021-09-07,165,451.46,11017030,51671530,Nasdaq public historical table
2021-09-08,163.93,450.91,5866501,56181910,Nasdaq public historical table
2021-09-09,166,448.98,5935754,57970410,Nasdaq public historical table
2021-09-10,165.2,445.44,3985251,89948170,Nasdaq public historical table
2021-09-13,160.32,446.58,7520949,83738650,Nasdaq public historical table
2021-09-14,163.3,444.17,4655503,78197140,Nasdaq public historical table
2021-09-15,166.37,447.88,5656017,78792220,Nasdaq public historical table
2021-09-16,168.15,447.17,6094825,77786740,Nasdaq public historical table
2021-09-17,166.59,441.4,20024680,118425000,Nasdaq public historical table
2021-09-20,161.64,434.04,6846832,166445500,Nasdaq public historical table
2021-09-21,169.29,433.63,8592501,92526110,Nasdaq public historical table
2021-09-22,169.96,437.86,4353595,102350100,Nasdaq public historical table
2021-09-23,175.13,443.18,5370786,76395980,Nasdaq public historical table
2021-09-24,175.88,443.91,4084868,62094840,Nasdaq public historical table
2021-09-27,174.26,442.64,3551430,61371110,Nasdaq public historical table
2021-09-28,168.58,433.72,4362803,130436300,Nasdaq public historical table
2021-09-29,168.07,434.45,2788740,82329210,Nasdaq public historical table
2021-09-30,167.75,429.14,2663690,140506000,Nasdaq public historical table
2021-10-01,173.01,434.24,4963044,129240100,Nasdaq public historical table
2021-10-04,164.5,428.64,4459382,128570000,Nasdaq public historical table
2021-10-05,164.74,433.1,4340100,90682520,Nasdaq public historical table
2021-10-06,167.25,434.9,2461482,113032200,Nasdaq public historical table
2021-10-07,169.6,438.66,2119612,72437500,Nasdaq public historical table
2021-10-08,169.97,437.86,2265114,74557400,Nasdaq public historical table
2021-10-11,166.67,434.69,2046310,65233290,Nasdaq public historical table
2021-10-12,172.75,433.62,6028098,71181160,Nasdaq public historical table
2021-10-13,173.58,435.18,3523610,72973980,Nasdaq public historical table
2021-10-14,170.5,442.5,4145257,70236830,Nasdaq public historical table
2021-10-15,169.18,445.87,3592734,66260210,Nasdaq public historical table
2021-10-18,172.32,447.19,2793704,62213230,Nasdaq public historical table
2021-10-19,170.74,450.64,2776646,46996830,Nasdaq public historical table
2021-10-20,169.76,452.41,2687022,49571570,Nasdaq public historical table
2021-10-21,170.5,453.59,2889355,41305440,Nasdaq public historical table
2021-10-22,166.64,453.12,2985991,58845090,Nasdaq public historical table
2021-10-25,169.24,455.55,2620794,45214510,Nasdaq public historical table
2021-10-26,171.14,455.96,2937893,56075120,Nasdaq public historical table
