source_id,user_approved,provider_gate_allowed,actual_request_count,collection_outcome,final_decision,source_url,terms_url,robots_url,license,collection_timestamp_utc,artifact_sha256,notes
NASA_BLACK_MARBLE_VNP46A2,true,false,0,not_testable,WATCH_PROSPECTIVELY,https://ladsweb.modaps.eosdis.nasa.gov/archive/allData/5000/VNP46A2/; https://www.earthdata.nasa.gov/data/catalog/lpcloud-vnp46a2-001,https://www.earthdata.nasa.gov/engage/open-data-services-and-software/data-and-information-policy,https://ladsweb.modaps.eosdis.nasa.gov/robots.txt,NASA open-data policy; attribution expected,,,Authenticated Earthdata access was not authorized or attempted; granule versioning and environmental controls require a prospective protocol.
NOAA_HMS_SMOKE,true,false,0,not_testable,CONTROL_ONLY,https://www.ospo.noaa.gov/products/land/hms.html; https://satepsanone.nesdis.noaa.gov/pub/FIRE/web/HMS/Smoke_Polygons/Shapefile/,https://www.noaa.gov/information-technology/open-data-dissemination,https://www.ospo.noaa.gov/robots.txt,NOAA-produced data generally public domain/CC0 with attribution and no implied endorsement,,,"Smoke is a sparse disruption control with regenerated-archive and 2022 methodology risks, not a stand-alone demand signal."
WSF_FERRY_RIDERSHIP,true,false,0,not_testable,INCONCLUSIVE,https://wsdot.wa.gov/travel/washington-state-ferries/about-us/ferries-accountability-and-service-data/ridership-data; https://wsdot.wa.gov/sites/default/files/2023-04/WashingtonStateFerries-TrafficStatistics-2023Q1.pdf,https://wsdot.wa.gov/about/policies/open-data-policy,https://wsdot.wa.gov/robots.txt,Public government reports; WSDOT open-data/reuse language requires source attribution and planning-use caveats; exact automation permission unresolved,,,"The dated archive is promising, but permission and report-level initial-publication evidence remain unresolved, so no lawful replay ran."
NYC_OSE_STR_SNAPSHOTS,true,false,0,not_testable,INCONCLUSIVE,https://www.nyc.gov/site/specialenforcement/registration-law/registration-and-listing-data.page,https://www.nyc.gov/home/terms-of-use.page,https://www.nyc.gov/robots.txt,Public government records; exact automation licence not established,,,Zero eligible post-regime observations fail H-006's frozen minimum evidence; no readiness promotion or signal/control inference is permitted.
ORANGE_FL_TDT_RELEASES,true,false,0,not_testable,INCONCLUSIVE,https://www.occompt.com/quicklinks.aspx?CID=39,,https://www.occompt.com/robots.txt,Public official reports; exact site licence/automation terms not located,,,Zero eligible observations fail H-005's frozen minimum evidence; no readiness promotion or signal/control inference is permitted.
VANCOUVER_STR_LICENSES,true,false,0,not_testable,WATCH_PROSPECTIVELY,https://opendata.vancouver.ca/explore/dataset/business-licences/api/,https://vancouver.ca/your-government/terms-of-use.aspx,https://opendata.vancouver.ca/robots.txt,Open Government Licence – Vancouver,,,The current extract can overwrite status and cannot reconstruct historical state; begin aggregate snapshots only if exact-path permission clears.
NPS_VISITOR_USE,true,false,0,not_testable,WATCH_PROSPECTIVELY,https://irmaservices.nps.gov/v3/rest/Stats/help; https://home.nps.gov/subjects/socialscience/statistics-faq.htm,https://www.doi.gov/copyright,https://irmaservices.nps.gov/robots.txt,U.S. federal public data; attribution and DOI/citation where supplied,,,"The finalized API lacks preliminary vintages, so prospective capture is required despite long observation history."
NYC_OSE_ENFORCEMENT_REPORTS,true,false,0,not_testable,CONTROL_ONLY,https://www.nyc.gov/site/specialenforcement/about/data-reports.page,https://www.nyc.gov/home/terms-of-use.page,https://www.nyc.gov/robots.txt,Official page states materials are available for public and research use; automation terms unresolved,,,Annual enforcement counts measure policy effort more than timely consolidated supply and remain permission-blocked.
FTA_NTD_MONTHLY_RIDERSHIP,true,false,0,not_testable,CONTROL_ONLY,https://www.transit.dot.gov/ntd/monthly-ridership; https://www.transit.dot.gov/ntd/data-product/monthly-modal-time-series-safety-and-service,https://www.transportation.gov/data,https://www.transit.dot.gov/robots.txt,U.S. federal open-data products,,,Publication lag and broad agency-level aggregation make this more suitable as a mobility control than an edge signal.
NOLA_STR_PERMIT_EVENTS,true,false,0,not_testable,INCONCLUSIVE,https://data.nola.gov/Housing-Land-Use-and-Blight/Map-of-Short-Term-Rental-License-Applications/j5u3-2ueh,https://data.nola.gov/stories/s/Data-Policy-Annual-Report-2017/6a26-q6dq/,https://data.nola.gov/robots.txt,Portal marks public access; exact dataset licence/automation terms unresolved,,,"Event dates are coherent, but current status can overwrite history and neither path permission nor historical public-state timing is established."
NOLA_STR_ENFORCEMENT_HEARINGS,true,false,0,not_testable,CONTROL_ONLY,https://data.nola.gov/Housing-Land-Use-and-Blight/Adjudication-Enforcement-Detailed-Hearings-Data-fo/uzyk-jrck,https://data.nola.gov/stories/s/Data-Policy-Annual-Report-2017/6a26-q6dq/,https://data.nola.gov/robots.txt,Portal marks public access; exact dataset licence/automation terms unresolved,,,Hearings measure regulatory effort and may be backfilled; use only as a control after immutable publication timing is proven.
