source_id,exact_source_url,intended_paths,terms_url,terms_status,robots_url,robots_status,gate_allowed,gate_reasons,policy_assessed_at_utc,request_count,request_outcome,response_url,http_status,response_checksum_sha256,cached_response_path,e1_testability,pit_vintage_limitations,recommended_disposition,disposition_basis,unblock_condition,abnb_outcomes_inspected
SCW-001,https://data.austintexas.gov/stories/s/Active-Short-Term-Rentals/majh-96w2/,"/stories/s/Active-Short-Term-Rentals/majh-96w2/ | /resource/<underlying-active-str-dataset-id>.json?$limit=2",https://data.austintexas.gov/stories/s/City-of-Austin-Open-Data-Terms-of-Use/ranj-cccq/,allowed,https://data.austintexas.gov/robots.txt,unclear,false,robots guidance does not clearly allow the intended paths,2026-09-03T15:57:08Z,0,not_requested_policy_blocked,,,,,not_testable,"Underlying historical-series dataset ID and schema are unresolved; present rows are a snapshot and the story's historical query may be broken or deleted; no verified release vintages.",INCONCLUSIVE,"Potentially relevant daily legal-supply stock, but neither collection permission nor a stable historical series is established.","Authoritative robots allowance for both paths plus a stable underlying dataset ID and dated-vintage/publication evidence.",false
SCW-002,https://data.nola.gov/Housing-Land-Use-and-Blight/Map-of-Short-Term-Rental-License-Applications/j5u3-2ueh,"/resource/en36-xvxg.json?$limit=2&$select=permit_number,permit_type,current_status,expiration_date,application_date,issue_date",https://data.nola.gov/stories/s/Data-Policy-Annual-Report-2017/6a26-q6dq/,unclear,https://data.nola.gov/robots.txt,unclear,false,terms do not clearly permit automation | robots guidance does not clearly allow the intended paths,2026-09-03T15:57:08Z,0,not_requested_policy_blocked,,,,,not_testable,"Application, issue, and expiration dates exist from 2017, but current status can overwrite prior states; no changelog/archive or verified event-to-publication lag; event dates do not prove historical availability.",INCONCLUSIVE,"Append-like permit events are economically coherent, but the current extract cannot establish point-in-time state and the exact automation gate is unresolved.","Affirmative exact-path terms and robots permission plus historical snapshots or provider evidence that selected event fields are immutable and promptly published.",false
SCW-003,https://data.nola.gov/Housing-Land-Use-and-Blight/Adjudication-Enforcement-Detailed-Hearings-Data-fo/uzyk-jrck,"/resource/uzyk-jrck.json?$limit=2&$select=agency,case_type,hearing_date,case_established,violation_count",https://data.nola.gov/stories/s/Data-Policy-Annual-Report-2017/6a26-q6dq/,unclear,https://data.nola.gov/robots.txt,unclear,false,terms do not clearly permit automation | robots guidance does not clearly allow the intended paths,2026-09-03T15:57:08Z,0,not_requested_policy_blocked,,,,,not_testable,"Portal was created in 2022 while hearing dates begin in 2018, implying possible backfill; open violations and judgments can revise; publication lag and historical releases are unverified.",CONTROL_ONLY,"Policy effort, rescheduling, and backfill make these hearings more defensible as local regulatory-regime context than as a standalone predictive signal.","Affirmative exact-path terms and robots permission plus first-publication evidence for each event and immutable field definitions.",false
SCW-004,https://opendata.vancouver.ca/explore/dataset/business-licences/api/,"/api/explore/v2.1/catalog/datasets/business-licences/records?limit=2&refine=businesstype:%22Short-term%20Rental%20Operator%22",https://vancouver.ca/your-government/terms-of-use.aspx,allowed,https://opendata.vancouver.ca/robots.txt,unclear,false,robots guidance does not clearly allow the intended paths,2026-09-03T15:57:08Z,0,not_requested_policy_blocked,,,,,not_testable,"Current extract contains historical issue/expiry dates and revisions but has a 2026 extract date; historical status survivorship and omitted expired licences cannot be ruled out; no archived extract panel is verified.",WATCH_PROSPECTIVELY,"The licence series is well-defined and no-key with an open licence, but only future timestamped aggregate snapshots can satisfy point-in-time requirements absent archives.","Authoritative robots allowance, a PII-free field projection, and a fixed prospective snapshot protocol; historical promotion additionally requires archived extracts.",false
SCW-005,https://www.nyc.gov/site/specialenforcement/registration-law/registration-and-listing-data.page,"/site/specialenforcement/registration-law/registration-and-listing-data.page | /assets/specialenforcement/downloads/pdfs/<dated-registration-dataset>.csv",https://www.nyc.gov/home/terms-of-use.page,unclear,https://www.nyc.gov/robots.txt,unclear,false,terms do not clearly permit automation | robots guidance does not clearly allow the intended paths,2026-09-03T15:57:08Z,0,not_requested_policy_blocked,,,,,not_testable,"Annual reports provide genuine report vintages only from the FY23 regime onward; dated registration files are irregular snapshots and current status can overwrite earlier determinations; major Local Law 18 structural break.",INCONCLUSIVE,"Zero eligible observations fail H-006's frozen minimum-evidence rule; the short post-2023 history and permission-constrained snapshot record cannot support a signal conclusion.","Affirmative exact-path terms and robots permission plus release-by-release timestamp validation and aggregate-only ingestion of a dated report/snapshot.",false
SCW-006,https://www.occompt.com/quicklinks.aspx?CID=39,"/quicklinks.aspx?CID=39 | /DocumentCenter/View/<monthly-report-id>/<YYYY-MM-Month-TDT-Collection-PDF>",,unclear,https://www.occompt.com/robots.txt,unclear,false,terms URL is missing | terms do not clearly permit automation | robots guidance does not clearly allow the intended paths,2026-09-03T15:57:08Z,0,not_requested_policy_blocked,,,,,not_testable,"Release-specific monthly PDFs appear to preserve genuine 2019-present vintages, but release dates still require per-file verification; remittance timing lags bookings and later cumulative tables may revise history.",INCONCLUSIVE,"Zero eligible observations fail H-005's frozen minimum-evidence rule; promising release vintages cannot support a signal conclusion while exact automation permission and verified source observations are absent.","An exact terms URL affirmatively allowing automation, robots allowance, and one release-specific PDF with verified publication timestamp and checksum.",false
SCW-007,https://tax.hawaii.gov/stats/a5_3txcolrptarchive/,"/stats/a5_3txcolrptarchive/ | https://files.hawaii.gov/tax/stats/monthly/<YYYYMM>liab-by-d_tat.pdf",https://ets.hawaii.gov/soh-terms-of-use/,prohibited,https://tax.hawaii.gov/robots.txt,unclear,false,terms prohibit automated collection | robots guidance does not clearly allow the intended paths,2026-09-03T15:57:08Z,0,not_requested_terms_prohibit,,,,,not_testable,"The archive has unusually strong 1997-present monthly release and revision evidence, but those vintages are legally unusable for this automated commercial research run under the reviewed State terms.",REJECT,"Explicit prohibition controls despite excellent timing and coverage; public visibility is not permission.","Separate written State permission covering automated access and commercial research, followed by exact-path robots clearance.",false
SCW-008,https://data.sandiego.gov/datasets/stro-licenses/,"/datasets/stro-licenses/ | /downloads/stro-licenses/<documented-stro-csv>",https://data.sandiego.gov/help/guides/terms/,allowed,https://data.sandiego.gov/robots.txt,unclear,false,robots guidance does not clearly allow the intended paths,2026-09-03T15:57:08Z,0,not_requested_policy_blocked,,,,,not_testable,"Active-only current snapshot issued in 2023 has expiration but no issue date; overwritten records cannot reconstruct historical active stock; source includes avoidable names, phones, addresses, and tax IDs.",WATCH_PROSPECTIVELY,"A fixed aggregate snapshot panel could measure future licensed capacity, but historical use is impossible and collection must project only non-personal tier/area/expiration fields.","Authoritative robots allowance and a documented query/download that excludes all personal fields before transport; then timestamped prospective aggregate snapshots only.",false
SCW-009,https://www.recreation.gov/permits/4675337/registration/detailed-availability,"/api/camps/availability/campground/<facility-id>/month?start_date=<ISO-UTC>",,unclear,https://www.recreation.gov/robots.txt,unclear,false,terms URL is missing | terms do not clearly permit automation | robots guidance does not clearly allow the intended paths,2026-09-03T15:57:08Z,0,not_requested_policy_blocked_and_booking_engine_excluded,,,,,not_testable,"Dynamic availability is overwritten, no historical snapshots exist, and the observed internal route is not documented by the official RIDB API; facility release rules are heterogeneous.",REJECT,"The exact route fails permission/documentation gates and falls within the run's booking-engine exclusion; no defensible historical point-in-time panel exists.","A separately approved documented public availability API with affirmative automation/reuse permission and a future fixed-panel protocol; the current route remains excluded.",false
SCW-010,https://www.nyc.gov/site/specialenforcement/about/data-reports.page,"/site/specialenforcement/about/data-reports.page | /assets/specialenforcement/downloads/pdfs/<annual-enforcement-report>.pdf",https://www.nyc.gov/home/terms-of-use.page,unclear,https://www.nyc.gov/robots.txt,unclear,false,terms do not clearly permit automation | robots guidance does not clearly allow the intended paths,2026-09-03T15:57:08Z,0,not_requested_policy_blocked,,,,,not_testable,"Separate annual reports appear to preserve 2016-2024 vintages, but per-report publication dates and restatements require validation; annual counts reflect policy priorities, complaint channels, and major 2023 regime changes.",CONTROL_ONLY,"The archive is best suited to annual regulatory-regime and enforcement-effort controls, not standalone supply inference; exact automation permission remains unresolved.","Affirmative exact-path terms and robots permission plus first-publication timestamps and checksums for each retained annual report.",false
